id,dl,ma,gr,hs,ca,mu,lq,hb,pw,cw,pl,lc
1,0,0,0,0,0,1,0,0,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,3,0,0,0,0,0,0
5,0,0,0,0,1,1,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0,0,0
7,0,0,0,3,0,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0,0,0
10,0,1,2,0,0,0,0,0,0,0,0,0
11,0,2,2,0,0,0,0,0,0,0,0,0
12,0,1,3,0,0,0,0,0,0,1,0,0
13,0,1,1,0,0,0,0,0,0,0,0,1
14,0,0,1,0,0,0,0,0,0,0,0,0
15,1,1,0,1,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,1,0,0,0,0,0,0
18,1,0,1,0,0,0,3,0,0,0,7,0
19,1,5,0,0,0,0,0,0,0,0,1,0
20,0,0,0,2,0,0,0,0,0,0,0,0
21,0,3,0,0,0,1,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,3
23,0,0,0,0,0,0,0,0,0,0,8,0
24,0,0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,0,0,22,0
26,0,1,0,3,0,0,0,0,0,0,0,1
27,0,0,2,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,2,0,0,1
29,0,0,2,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,0
31,0,0,2,0,0,0,0,0,1,0,3,1
32,0,0,0,0,0,0,0,0,0,0,1,0
33,0,0,0,5,0,0,0,0,0,0,2,5
34,0,0,0,5,0,0,0,0,0,0,2,5
35,0,0,0,0,0,0,0,0,0,0,1,0
