"","X2","X36","X12.5","X2010.02.17.16.40.00"
"512092",2,36,4.561,"2015-01-26 00:05:00"
"512093",2,36,4.566,"2015-01-26 00:10:00"
"512094",2,36,4.325,"2015-01-26 00:15:00"
"512095",2,36,4.245,"2015-01-26 00:20:00"
"512096",2,36,4.225,"2015-01-26 00:25:00"
"512097",2,36,4.32,"2015-01-26 00:30:00"
"512098",2,36,4.447,"2015-01-26 00:35:00"
"512099",2,36,4.321,"2015-01-26 00:40:00"
"512100",2,36,4.302,"2015-01-26 00:45:00"
"512101",2,36,4.63,"2015-01-26 00:50:00"
"512102",2,36,4.602,"2015-01-26 00:55:00"
"512103",2,36,4.479,"2015-01-26 01:00:00"
"512104",2,36,4.105,"2015-01-26 01:05:00"
"512105",2,36,4.212,"2015-01-26 01:10:00"
"512106",2,36,3.99,"2015-01-26 01:15:00"
"512107",2,36,4.162,"2015-01-26 01:20:00"
"512108",2,36,4.283,"2015-01-26 01:25:00"
"512109",2,36,4.179,"2015-01-26 01:30:00"
"512110",2,36,4.173,"2015-01-26 01:35:00"
"512111",2,36,4.612,"2015-01-26 01:40:00"
"512112",2,36,4.647,"2015-01-26 01:45:00"
"512113",2,36,4.845,"2015-01-26 01:50:00"
"512114",2,36,4.665,"2015-01-26 01:55:00"
"512115",2,36,4.453,"2015-01-26 02:00:00"
"512116",2,36,3.75,"2015-01-26 02:05:00"
"512117",2,36,3.404,"2015-01-26 02:10:00"
"512118",2,36,3.126,"2015-01-26 02:15:00"
"512119",2,36,3.164,"2015-01-26 02:20:00"
"512120",2,36,3.179,"2015-01-26 02:25:00"
"512121",2,36,3.039,"2015-01-26 02:30:00"
"512122",2,36,3.629,"2015-01-26 02:35:00"
"512123",2,36,3.179,"2015-01-26 02:40:00"
"512124",2,36,3.994,"2015-01-26 02:45:00"
"512125",2,36,3.159,"2015-01-26 02:50:00"
"512126",2,36,2.737,"2015-01-26 02:55:00"
"512127",2,36,2.683,"2015-01-26 03:00:00"
"512128",2,36,2.723,"2015-01-26 03:05:00"
"512129",2,36,2.554,"2015-01-26 03:10:00"
"512130",2,36,2.424,"2015-01-26 03:15:00"
"512131",2,36,2.337,"2015-01-26 03:20:00"
"512132",2,36,2.429,"2015-01-26 03:25:00"
"512133",2,36,2.245,"2015-01-26 03:30:00"
"512134",2,36,1.979,"2015-01-26 03:35:00"
"512135",2,36,1.907,"2015-01-26 03:40:00"
"512136",2,36,2.455,"2015-01-26 03:45:00"
"512137",2,36,2.994,"2015-01-26 03:50:00"
