"","X2","X35","X0","X2009.03.18.09.20.00"
"607790",2,35,0,"2015-01-26 00:05:00"
"607791",2,35,0,"2015-01-26 00:10:00"
"607792",2,35,0,"2015-01-26 00:15:00"
"607793",2,35,0,"2015-01-26 00:20:00"
"607794",2,35,0,"2015-01-26 00:25:00"
"607795",2,35,0,"2015-01-26 00:30:00"
"607796",2,35,0,"2015-01-26 00:35:00"
"607797",2,35,0,"2015-01-26 00:40:00"
"607798",2,35,0,"2015-01-26 00:45:00"
"607799",2,35,0,"2015-01-26 00:50:00"
"607800",2,35,0,"2015-01-26 00:55:00"
"607801",2,35,0,"2015-01-26 01:00:00"
"607802",2,35,0,"2015-01-26 01:05:00"
"607803",2,35,0,"2015-01-26 01:10:00"
"607804",2,35,0,"2015-01-26 01:15:00"
"607805",2,35,0,"2015-01-26 01:20:00"
"607806",2,35,0,"2015-01-26 01:25:00"
"607807",2,35,0,"2015-01-26 01:30:00"
"607808",2,35,0,"2015-01-26 01:35:00"
"607809",2,35,0,"2015-01-26 01:40:00"
"607810",2,35,0,"2015-01-26 01:45:00"
"607811",2,35,0,"2015-01-26 01:50:00"
"607812",2,35,0,"2015-01-26 01:55:00"
"607813",2,35,0,"2015-01-26 02:00:00"
"607814",2,35,0,"2015-01-26 02:05:00"
"607815",2,35,0,"2015-01-26 02:10:00"
"607816",2,35,0,"2015-01-26 02:15:00"
"607817",2,35,0,"2015-01-26 02:20:00"
"607818",2,35,0,"2015-01-26 02:25:00"
"607819",2,35,0,"2015-01-26 02:30:00"
"607820",2,35,0,"2015-01-26 02:35:00"
"607821",2,35,0,"2015-01-26 02:40:00"
"607822",2,35,0,"2015-01-26 02:45:00"
"607823",2,35,0,"2015-01-26 02:50:00"
"607824",2,35,0,"2015-01-26 02:55:00"
"607825",2,35,0,"2015-01-26 03:00:00"
"607826",2,35,0,"2015-01-26 03:05:00"
"607827",2,35,0,"2015-01-26 03:10:00"
"607828",2,35,0,"2015-01-26 03:15:00"
"607829",2,35,0,"2015-01-26 03:20:00"
"607830",2,35,0,"2015-01-26 03:25:00"
"607831",2,35,0,"2015-01-26 03:30:00"
"607832",2,35,0,"2015-01-26 03:35:00"
"607833",2,35,0,"2015-01-26 03:40:00"
"607834",2,35,0,"2015-01-26 03:45:00"
"607835",2,35,0,"2015-01-26 03:50:00"
"607836",2,35,0,"2015-01-26 03:55:00"
"607837",2,35,0,"2015-01-26 04:00:00"
"607838",2,35,0,"2015-01-26 04:05:00"
"607839",2,35,0,"2015-01-26 04:10:00"
"607840",2,35,0,"2015-01-26 04:15:00"
"607841",2,35,0,"2015-01-26 04:20:00"
"607842",2,35,0,"2015-01-26 04:25:00"
"607843",2,35,0,"2015-01-26 04:30:00"
"607844",2,35,0,"2015-01-26 04:35:00"
"607845",2,35,0,"2015-01-26 04:40:00"
"607846",2,35,0,"2015-01-26 04:45:00"
"607847",2,35,0,"2015-01-26 04:50:00"
"607848",2,35,0,"2015-01-26 04:55:00"
"607849",2,35,0,"2015-01-26 05:00:00"
"607850",2,35,0,"2015-01-26 05:05:00"
"607851",2,35,0,"2015-01-26 05:10:00"
"607852",2,35,0,"2015-01-26 05:15:00"
"607853",2,35,0,"2015-01-26 05:20:00"
"607854",2,35,0,"2015-01-26 05:25:00"
"607855",2,35,0,"2015-01-26 05:30:00"
"607856",2,35,0,"2015-01-26 05:35:00"
"607857",2,35,0,"2015-01-26 05:40:00"
"607858",2,35,0,"2015-01-26 05:45:00"
"607859",2,35,0,"2015-01-26 05:50:00"
"607860",2,35,0,"2015-01-26 05:55:00"
"607861",2,35,0,"2015-01-26 06:00:00"
"607862",2,35,0,"2015-01-26 06:05:00"
"607863",2,35,0,"2015-01-26 06:10:00"
"607864",2,35,0,"2015-01-26 06:15:00"
"607865",2,35,0,"2015-01-26 06:20:00"
"607866",2,35,0,"2015-01-26 06:25:00"
"607867",2,35,0,"2015-01-26 06:30:00"
"607868",2,35,0,"2015-01-26 06:35:00"
"607869",2,35,0,"2015-01-26 06:40:00"
"607870",2,35,0,"2015-01-26 06:45:00"
"607871",2,35,0,"2015-01-26 06:50:00"
"607872",2,35,0,"2015-01-26 06:55:00"
"607873",2,35,0,"2015-01-26 07:00:00"
"607874",2,35,0,"2015-01-26 07:05:00"
"607875",2,35,0,"2015-01-26 07:10:00"
"607876",2,35,0,"2015-01-26 07:15:00"
"607877",2,35,0,"2015-01-26 07:20:00"
"607878",2,35,0,"2015-01-26 07:25:00"
"607879",2,35,0,"2015-01-26 07:30:00"
"607880",2,35,0,"2015-01-26 07:35:00"
"607881",2,35,0,"2015-01-26 07:40:00"
"607882",2,35,0,"2015-01-26 07:45:00"
"607883",2,35,0,"2015-01-26 07:50:00"
"607884",2,35,0,"2015-01-26 07:55:00"
"607885",2,35,0,"2015-01-26 08:00:00"
"607886",2,35,0,"2015-01-26 08:05:00"
"607887",2,35,0,"2015-01-26 08:10:00"
"607888",2,35,0,"2015-01-26 08:15:00"
"607889",2,35,0,"2015-01-26 08:20:00"
"607890",2,35,0,"2015-01-26 08:25:00"
"607891",2,35,0,"2015-01-26 08:30:00"
"607892",2,35,0,"2015-01-26 08:35:00"
"607893",2,35,0,"2015-01-26 08:40:00"
"607894",2,35,0,"2015-01-26 08:45:00"
"607895",2,35,0,"2015-01-26 08:50:00"
"607896",2,35,0,"2015-01-26 08:55:00"
"607897",2,35,0,"2015-01-26 09:00:00"
"607898",2,35,0,"2015-01-26 09:05:00"
"607899",2,35,0,"2015-01-26 09:10:00"
"607900",2,35,0,"2015-01-26 09:15:00"
"607901",2,35,0,"2015-01-26 09:20:00"
"607902",2,35,0,"2015-01-26 09:25:00"
"607903",2,35,0,"2015-01-26 09:30:00"
"607904",2,35,0,"2015-01-26 09:35:00"
"607905",2,35,0,"2015-01-26 09:40:00"
"607906",2,35,0,"2015-01-26 09:45:00"
"607907",2,35,0,"2015-01-26 09:50:00"
"607908",2,35,0,"2015-01-26 09:55:00"
"607909",2,35,0,"2015-01-26 10:00:00"
"607910",2,35,0,"2015-01-26 10:05:00"
"607911",2,35,0,"2015-01-26 10:10:00"
"607912",2,35,0,"2015-01-26 10:15:00"
"607913",2,35,0,"2015-01-26 10:20:00"
"607914",2,35,0,"2015-01-26 10:25:00"
"607915",2,35,0,"2015-01-26 10:30:00"
"607916",2,35,0,"2015-01-26 10:35:00"
"607917",2,35,0,"2015-01-26 10:40:00"
"607918",2,35,0,"2015-01-26 10:45:00"
"607919",2,35,0,"2015-01-26 10:50:00"
"607920",2,35,0,"2015-01-26 10:55:00"
"607921",2,35,0,"2015-01-26 11:00:00"
"607922",2,35,0,"2015-01-26 11:05:00"
"607923",2,35,0,"2015-01-26 11:10:00"
"607924",2,35,0,"2015-01-26 11:15:00"
"607925",2,35,0,"2015-01-26 11:20:00"
"607926",2,35,0,"2015-01-26 11:25:00"
"607927",2,35,0,"2015-01-26 11:30:00"
"607928",2,35,0,"2015-01-26 11:35:00"
"607929",2,35,0,"2015-01-26 11:40:00"
"607930",2,35,0,"2015-01-26 11:45:00"
"607931",2,35,0,"2015-01-26 11:50:00"
"607932",2,35,0,"2015-01-26 11:55:00"
"607933",2,35,0,"2015-01-26 12:00:00"
"607934",2,35,0,"2015-01-26 12:05:00"
"607935",2,35,0,"2015-01-26 12:10:00"
"607936",2,35,0,"2015-01-26 12:15:00"
"607937",2,35,0,"2015-01-26 12:20:00"
"607938",2,35,0,"2015-01-26 12:25:00"
"607939",2,35,0,"2015-01-26 12:30:00"
"607940",2,35,0,"2015-01-26 12:35:00"
"607941",2,35,0,"2015-01-26 12:40:00"
"607942",2,35,0,"2015-01-26 12:45:00"
"607943",2,35,0,"2015-01-26 12:50:00"
"607944",2,35,0,"2015-01-26 12:55:00"
"607945",2,35,0,"2015-01-26 13:00:00"
"607946",2,35,0,"2015-01-26 13:05:00"
"607947",2,35,0,"2015-01-26 13:10:00"
"607948",2,35,0,"2015-01-26 13:15:00"
"607949",2,35,0,"2015-01-26 13:20:00"
"607950",2,35,0,"2015-01-26 13:25:00"
"607951",2,35,0,"2015-01-26 13:30:00"
"607952",2,35,0,"2015-01-26 13:35:00"
"607953",2,35,0,"2015-01-26 13:40:00"
"607954",2,35,0,"2015-01-26 13:45:00"
"607955",2,35,0,"2015-01-26 13:50:00"
"607956",2,35,0,"2015-01-26 13:55:00"
"607957",2,35,0,"2015-01-26 14:00:00"
"607958",2,35,0,"2015-01-26 14:05:00"
"607959",2,35,0,"2015-01-26 14:10:00"
"607960",2,35,0.254,"2015-01-26 14:15:00"
"607961",2,35,0.254,"2015-01-26 14:20:00"
"607962",2,35,0.254,"2015-01-26 14:25:00"
"607963",2,35,0.254,"2015-01-26 14:30:00"
"607964",2,35,0.254,"2015-01-26 14:35:00"
"607965",2,35,0.254,"2015-01-26 14:40:00"
"607966",2,35,0.254,"2015-01-26 14:45:00"
"607967",2,35,0.254,"2015-01-26 14:50:00"
"607968",2,35,0.254,"2015-01-26 14:55:00"
"607969",2,35,0.254,"2015-01-26 15:00:00"
"607970",2,35,0.254,"2015-01-26 15:05:00"
"607971",2,35,0.254,"2015-01-26 15:10:00"
"607972",2,35,0.254,"2015-01-26 15:15:00"
"607973",2,35,0.254,"2015-01-26 15:20:00"
"607974",2,35,0.254,"2015-01-26 15:25:00"
"607975",2,35,0.254,"2015-01-26 15:30:00"
"607976",2,35,0.254,"2015-01-26 15:35:00"
"607977",2,35,0.254,"2015-01-26 15:40:00"
"607978",2,35,0.254,"2015-01-26 15:45:00"
"607979",2,35,0.254,"2015-01-26 15:50:00"
"607980",2,35,0.254,"2015-01-26 15:55:00"
"607981",2,35,0.254,"2015-01-26 16:00:00"
"607982",2,35,0.254,"2015-01-26 16:05:00"
"607983",2,35,0.254,"2015-01-26 16:10:00"
"607984",2,35,0.254,"2015-01-26 16:15:00"
"607985",2,35,0.254,"2015-01-26 16:20:00"
"607986",2,35,0.254,"2015-01-26 16:25:00"
"607987",2,35,0.254,"2015-01-26 16:30:00"
"607988",2,35,0.254,"2015-01-26 16:35:00"
"607989",2,35,0.254,"2015-01-26 16:40:00"
"607990",2,35,0.254,"2015-01-26 16:45:00"
"607991",2,35,0.254,"2015-01-26 16:50:00"
"607992",2,35,0.254,"2015-01-26 16:55:00"
"607993",2,35,0.254,"2015-01-26 17:00:00"
"607994",2,35,0.254,"2015-01-26 17:05:00"
"607995",2,35,0.254,"2015-01-26 17:10:00"
"607996",2,35,0.254,"2015-01-26 17:15:00"
"607997",2,35,0.254,"2015-01-26 17:20:00"
"607998",2,35,0.254,"2015-01-26 17:25:00"
"607999",2,35,0.254,"2015-01-26 17:30:00"
"608000",2,35,0.254,"2015-01-26 17:35:00"
"608001",2,35,0.254,"2015-01-26 17:40:00"
"608002",2,35,0.254,"2015-01-26 17:45:00"
"608003",2,35,0.254,"2015-01-26 17:50:00"
"608004",2,35,0.254,"2015-01-26 17:55:00"
"608005",2,35,0.254,"2015-01-26 18:00:00"
"608006",2,35,0.254,"2015-01-26 18:05:00"
"608007",2,35,0.254,"2015-01-26 18:10:00"
"608008",2,35,0.254,"2015-01-26 18:15:00"
"608009",2,35,0.254,"2015-01-26 18:20:00"
"608010",2,35,0.254,"2015-01-26 18:25:00"
"608011",2,35,0.254,"2015-01-26 18:30:00"
"608012",2,35,0.254,"2015-01-26 18:35:00"
"608013",2,35,0.254,"2015-01-26 18:40:00"
"608014",2,35,0.254,"2015-01-26 18:45:00"
