"","X2","X1","X10.39","X2009.01.26.11.55.00"
"717518",2,1,21.25,"2015-02-15 15:05:00"
"717519",2,1,21.43,"2015-02-15 15:10:00"
"717520",2,1,21.51,"2015-02-15 15:15:00"
"717521",2,1,21.43,"2015-02-15 15:20:00"
"717522",2,1,21.72,"2015-02-15 15:25:00"
"717523",2,1,21.8,"2015-02-15 15:30:00"
"717524",2,1,21.81,"2015-02-15 15:35:00"
"717525",2,1,21.65,"2015-02-15 15:40:00"
"717526",2,1,21.99,"2015-02-15 15:45:00"
"717527",2,1,22.01,"2015-02-15 15:50:00"
"717528",2,1,21.86,"2015-02-15 15:55:00"
"717529",2,1,21.81,"2015-02-15 16:00:00"
"717530",2,1,21.76,"2015-02-15 16:05:00"
"717531",2,1,21.87,"2015-02-15 16:10:00"
"717532",2,1,22,"2015-02-15 16:15:00"
"717533",2,1,21.87,"2015-02-15 16:20:00"
"717534",2,1,21.82,"2015-02-15 16:25:00"
"717535",2,1,21.7,"2015-02-15 16:30:00"
"717536",2,1,21.35,"2015-02-15 16:35:00"
"717537",2,1,21.02,"2015-02-15 16:40:00"
"717538",2,1,20.67,"2015-02-15 16:45:00"
"717539",2,1,20.08,"2015-02-15 16:50:00"
"717540",2,1,19.85,"2015-02-15 16:55:00"
"717541",2,1,19.77,"2015-02-15 17:00:00"
"717542",2,1,19.72,"2015-02-15 17:05:00"
"717543",2,1,19.66,"2015-02-15 17:10:00"
"717544",2,1,19.65,"2015-02-15 17:15:00"
"717545",2,1,19.42,"2015-02-15 17:20:00"
"717546",2,1,19.17,"2015-02-15 17:25:00"
"717547",2,1,18.97,"2015-02-15 17:30:00"
"717548",2,1,18.83,"2015-02-15 17:35:00"
"717549",2,1,18.68,"2015-02-15 17:40:00"
"717550",2,1,18.62,"2015-02-15 17:45:00"
"717551",2,1,18.49,"2015-02-15 17:50:00"
"717552",2,1,18.35,"2015-02-15 17:55:00"
"717553",2,1,18.24,"2015-02-15 18:00:00"
"717554",2,1,18.15,"2015-02-15 18:05:00"
"717555",2,1,17.88,"2015-02-15 18:10:00"
"717556",2,1,17.76,"2015-02-15 18:15:00"
"717557",2,1,17.84,"2015-02-15 18:20:00"
"717558",2,1,17.73,"2015-02-15 18:25:00"
"717559",2,1,17.52,"2015-02-15 18:30:00"
"717560",2,1,17.5,"2015-02-15 18:35:00"
"717561",2,1,17.31,"2015-02-15 18:40:00"
"717562",2,1,17.47,"2015-02-15 18:45:00"
"717563",2,1,17.46,"2015-02-15 18:50:00"
"717564",2,1,17.41,"2015-02-15 18:55:00"
"717565",2,1,17.42,"2015-02-15 19:00:00"
"717566",2,1,17.46,"2015-02-15 19:05:00"
"717567",2,1,17.43,"2015-02-15 19:10:00"
"717568",2,1,17.17,"2015-02-15 19:15:00"
"717569",2,1,16.71,"2015-02-15 19:20:00"
"717570",2,1,16.8,"2015-02-15 19:25:00"
"717571",2,1,16.82,"2015-02-15 19:30:00"
"717572",2,1,16.51,"2015-02-15 19:35:00"
"717573",2,1,16.25,"2015-02-15 19:40:00"
"717574",2,1,16.2,"2015-02-15 19:45:00"
"717575",2,1,16.56,"2015-02-15 19:50:00"
"717576",2,1,16.75,"2015-02-15 19:55:00"
"717577",2,1,16.59,"2015-02-15 20:00:00"
"717578",2,1,16.28,"2015-02-15 20:05:00"
"717579",2,1,16.12,"2015-02-15 20:10:00"
"717580",2,1,16.17,"2015-02-15 20:15:00"
"717581",2,1,16.15,"2015-02-15 20:20:00"
"717582",2,1,16.14,"2015-02-15 20:25:00"
"717583",2,1,16.25,"2015-02-15 20:30:00"
"717584",2,1,16.26,"2015-02-15 20:35:00"
"717585",2,1,16.14,"2015-02-15 20:40:00"
"717586",2,1,16.09,"2015-02-15 20:45:00"
"717587",2,1,15.94,"2015-02-15 20:50:00"
"717588",2,1,15.73,"2015-02-15 20:55:00"
"717589",2,1,15.79,"2015-02-15 21:00:00"
"717590",2,1,15.93,"2015-02-15 21:05:00"
"717591",2,1,15.8,"2015-02-15 21:10:00"
"717592",2,1,15.75,"2015-02-15 21:15:00"
"717593",2,1,15.71,"2015-02-15 21:20:00"
"717594",2,1,15.62,"2015-02-15 21:25:00"
"717595",2,1,15.51,"2015-02-15 21:30:00"
"717596",2,1,15.43,"2015-02-15 21:35:00"
"717597",2,1,15.29,"2015-02-15 21:40:00"
"717598",2,1,15.12,"2015-02-15 21:45:00"
"717599",2,1,15.19,"2015-02-15 21:50:00"
"717600",2,1,15.3,"2015-02-15 21:55:00"
"717601",2,1,15.37,"2015-02-15 22:00:00"
"717602",2,1,15.28,"2015-02-15 22:05:00"
"717603",2,1,14.77,"2015-02-15 22:10:00"
"717604",2,1,14.54,"2015-02-15 22:15:00"
"717605",2,1,14.37,"2015-02-15 22:20:00"
"717606",2,1,14.38,"2015-02-15 22:25:00"
"717607",2,1,13.94,"2015-02-15 22:30:00"
"717608",2,1,13.79,"2015-02-15 22:35:00"
"717609",2,1,13.42,"2015-02-15 22:40:00"
"717610",2,1,13.11,"2015-02-15 22:45:00"
"717611",2,1,12.8,"2015-02-15 22:50:00"
"717612",2,1,12.57,"2015-02-15 22:55:00"
"717613",2,1,12.54,"2015-02-15 23:00:00"
"717614",2,1,12.58,"2015-02-15 23:05:00"
"717615",2,1,12.74,"2015-02-15 23:10:00"
"717616",2,1,12.79,"2015-02-15 23:15:00"
"717617",2,1,12.75,"2015-02-15 23:20:00"
"717618",2,1,12.74,"2015-02-15 23:25:00"
"717619",2,1,12.81,"2015-02-15 23:30:00"
"717620",2,1,12.68,"2015-02-15 23:35:00"
"717621",2,1,12.57,"2015-02-15 23:40:00"
"717622",2,1,12.43,"2015-02-15 23:45:00"
"717623",2,1,12.24,"2015-02-15 23:50:00"
"717624",2,1,12.25,"2015-02-15 23:55:00"
"717625",2,1,12.69,"2015-02-16 00:00:00"
"717626",2,1,12.66,"2015-02-16 00:05:00"
"717627",2,1,12.65,"2015-02-16 00:10:00"
"717628",2,1,12.64,"2015-02-16 00:15:00"
"717629",2,1,12.57,"2015-02-16 00:20:00"
"717630",2,1,12.52,"2015-02-16 00:25:00"
"717631",2,1,12.49,"2015-02-16 00:30:00"
"717632",2,1,12.39,"2015-02-16 00:35:00"
"717633",2,1,12.25,"2015-02-16 00:40:00"
"717634",2,1,12.24,"2015-02-16 00:45:00"
"717635",2,1,12.28,"2015-02-16 00:50:00"
"717636",2,1,12.26,"2015-02-16 00:55:00"
"717637",2,1,12.1,"2015-02-16 01:00:00"
"717638",2,1,11.93,"2015-02-16 01:05:00"
"717639",2,1,11.78,"2015-02-16 01:10:00"
"717640",2,1,11.73,"2015-02-16 01:15:00"
"717641",2,1,11.54,"2015-02-16 01:20:00"
"717642",2,1,11.46,"2015-02-16 01:25:00"
"717643",2,1,11.5,"2015-02-16 01:30:00"
"717644",2,1,11.42,"2015-02-16 01:35:00"
"717645",2,1,11.27,"2015-02-16 01:40:00"
"717646",2,1,11.17,"2015-02-16 01:45:00"
"717647",2,1,11.25,"2015-02-16 01:50:00"
"717648",2,1,11.39,"2015-02-16 01:55:00"
"717649",2,1,11.49,"2015-02-16 02:00:00"
"717650",2,1,11.44,"2015-02-16 02:05:00"
"717651",2,1,11.41,"2015-02-16 02:10:00"
"717652",2,1,11.34,"2015-02-16 02:15:00"
"717653",2,1,11.14,"2015-02-16 02:20:00"
"717654",2,1,10.93,"2015-02-16 02:25:00"
"717655",2,1,10.62,"2015-02-16 02:30:00"
"717656",2,1,10.45,"2015-02-16 02:35:00"
"717657",2,1,10.42,"2015-02-16 02:40:00"
"717658",2,1,10.58,"2015-02-16 02:45:00"
"717659",2,1,10.21,"2015-02-16 02:50:00"
"717660",2,1,9.6,"2015-02-16 02:55:00"
"717661",2,1,9.07,"2015-02-16 03:00:00"
"717662",2,1,9.34,"2015-02-16 03:05:00"
"717663",2,1,9.52,"2015-02-16 03:10:00"
"717664",2,1,9.56,"2015-02-16 03:15:00"
"717665",2,1,9.4,"2015-02-16 03:20:00"
"717666",2,1,9.04,"2015-02-16 03:25:00"
"717667",2,1,8.65,"2015-02-16 03:30:00"
"717668",2,1,8.52,"2015-02-16 03:35:00"
"717669",2,1,8.75,"2015-02-16 03:40:00"
"717670",2,1,8.5,"2015-02-16 03:45:00"
"717671",2,1,8.43,"2015-02-16 03:50:00"
"717672",2,1,8.26,"2015-02-16 03:55:00"
"717673",2,1,8.29,"2015-02-16 04:00:00"
"717674",2,1,8.27,"2015-02-16 04:05:00"
"717675",2,1,8.23,"2015-02-16 04:10:00"
"717676",2,1,8.28,"2015-02-16 04:15:00"
"717677",2,1,8.29,"2015-02-16 04:20:00"
"717678",2,1,8.15,"2015-02-16 04:25:00"
"717679",2,1,7.867,"2015-02-16 04:30:00"
"717680",2,1,8.09,"2015-02-16 04:35:00"
"717681",2,1,8.14,"2015-02-16 04:40:00"
"717682",2,1,8.15,"2015-02-16 04:45:00"
"717683",2,1,8.17,"2015-02-16 04:50:00"
"717684",2,1,8.14,"2015-02-16 04:55:00"
"717685",2,1,8.08,"2015-02-16 05:00:00"
"717686",2,1,7.982,"2015-02-16 05:05:00"
"717687",2,1,7.916,"2015-02-16 05:10:00"
"717688",2,1,8.05,"2015-02-16 05:15:00"
"717689",2,1,8.27,"2015-02-16 05:20:00"
"717690",2,1,8.34,"2015-02-16 05:25:00"
"717691",2,1,8.38,"2015-02-16 05:30:00"
"717692",2,1,8.5,"2015-02-16 05:35:00"
"717693",2,1,8.51,"2015-02-16 05:40:00"
"717694",2,1,8.42,"2015-02-16 05:45:00"
"717695",2,1,8.48,"2015-02-16 05:50:00"
"717696",2,1,8.61,"2015-02-16 05:55:00"
"717697",2,1,8.52,"2015-02-16 06:00:00"
"717698",2,1,8.55,"2015-02-16 06:05:00"
"717699",2,1,8.34,"2015-02-16 06:10:00"
"717700",2,1,8.33,"2015-02-16 06:15:00"
"717701",2,1,8.33,"2015-02-16 06:20:00"
"717702",2,1,8.36,"2015-02-16 06:25:00"
"717703",2,1,8.44,"2015-02-16 06:30:00"
"717704",2,1,8.43,"2015-02-16 06:35:00"
"717705",2,1,8.38,"2015-02-16 06:40:00"
"717706",2,1,8.35,"2015-02-16 06:45:00"
"717707",2,1,8.52,"2015-02-16 06:50:00"
"717708",2,1,8.59,"2015-02-16 06:55:00"
"717709",2,1,8.57,"2015-02-16 07:00:00"
"717710",2,1,8.58,"2015-02-16 07:05:00"
"717711",2,1,8.55,"2015-02-16 07:10:00"
"717712",2,1,8.51,"2015-02-16 07:15:00"
"717713",2,1,8.45,"2015-02-16 07:20:00"
"717714",2,1,8.42,"2015-02-16 07:25:00"
"717715",2,1,8.57,"2015-02-16 07:30:00"
"717716",2,1,8.75,"2015-02-16 07:35:00"
"717717",2,1,8.97,"2015-02-16 07:40:00"
"717718",2,1,9.19,"2015-02-16 07:45:00"
"717719",2,1,9.44,"2015-02-16 07:50:00"
"717720",2,1,9.72,"2015-02-16 07:55:00"
