"","X2","X9","X5.372","X2009.01.26.11.55.00"
"1015530",2,9,1.966,"2015-02-15 15:05:00"
"1015531",2,9,2.055,"2015-02-15 15:10:00"
"1015532",2,9,1.407,"2015-02-15 15:15:00"
"1015533",2,9,1.613,"2015-02-15 15:20:00"
"1015534",2,9,1.433,"2015-02-15 15:25:00"
"1015535",2,9,1.657,"2015-02-15 15:30:00"
"1015536",2,9,1.395,"2015-02-15 15:35:00"
"1015537",2,9,1.892,"2015-02-15 15:40:00"
"1015538",2,9,1.089,"2015-02-15 15:45:00"
"1015539",2,9,0.926,"2015-02-15 15:50:00"
"1015540",2,9,0.725,"2015-02-15 15:55:00"
"1015541",2,9,0.809,"2015-02-15 16:00:00"
"1015542",2,9,0.65,"2015-02-15 16:05:00"
"1015543",2,9,0.445,"2015-02-15 16:10:00"
"1015544",2,9,0.39,"2015-02-15 16:15:00"
"1015545",2,9,0.567,"2015-02-15 16:20:00"
"1015546",2,9,0.461,"2015-02-15 16:25:00"
"1015547",2,9,1.09,"2015-02-15 16:30:00"
"1015548",2,9,1.943,"2015-02-15 16:35:00"
"1015549",2,9,1.897,"2015-02-15 16:40:00"
"1015550",2,9,2.185,"2015-02-15 16:45:00"
"1015551",2,9,2.487,"2015-02-15 16:50:00"
"1015552",2,9,2.591,"2015-02-15 16:55:00"
"1015553",2,9,2.479,"2015-02-15 17:00:00"
"1015554",2,9,2.631,"2015-02-15 17:05:00"
"1015555",2,9,2.311,"2015-02-15 17:10:00"
"1015556",2,9,2.138,"2015-02-15 17:15:00"
"1015557",2,9,2.411,"2015-02-15 17:20:00"
"1015558",2,9,2.578,"2015-02-15 17:25:00"
"1015559",2,9,2.822,"2015-02-15 17:30:00"
"1015560",2,9,2.447,"2015-02-15 17:35:00"
"1015561",2,9,2.05,"2015-02-15 17:40:00"
"1015562",2,9,2.321,"2015-02-15 17:45:00"
"1015563",2,9,2.217,"2015-02-15 17:50:00"
"1015564",2,9,2.073,"2015-02-15 17:55:00"
"1015565",2,9,2.015,"2015-02-15 18:00:00"
"1015566",2,9,1.98,"2015-02-15 18:05:00"
"1015567",2,9,1.715,"2015-02-15 18:10:00"
"1015568",2,9,2.184,"2015-02-15 18:15:00"
"1015569",2,9,2.505,"2015-02-15 18:20:00"
"1015570",2,9,2.183,"2015-02-15 18:25:00"
"1015571",2,9,2.18,"2015-02-15 18:30:00"
"1015572",2,9,2.055,"2015-02-15 18:35:00"
"1015573",2,9,1.328,"2015-02-15 18:40:00"
"1015574",2,9,2.222,"2015-02-15 18:45:00"
"1015575",2,9,1.914,"2015-02-15 18:50:00"
"1015576",2,9,1.571,"2015-02-15 18:55:00"
"1015577",2,9,1.919,"2015-02-15 19:00:00"
"1015578",2,9,2.095,"2015-02-15 19:05:00"
"1015579",2,9,2.147,"2015-02-15 19:10:00"
"1015580",2,9,0.949,"2015-02-15 19:15:00"
"1015581",2,9,0.968,"2015-02-15 19:20:00"
"1015582",2,9,1.641,"2015-02-15 19:25:00"
"1015583",2,9,1.523,"2015-02-15 19:30:00"
"1015584",2,9,0.965,"2015-02-15 19:35:00"
"1015585",2,9,0.681,"2015-02-15 19:40:00"
"1015586",2,9,1.393,"2015-02-15 19:45:00"
"1015587",2,9,1.71,"2015-02-15 19:50:00"
"1015588",2,9,1.751,"2015-02-15 19:55:00"
"1015589",2,9,1.498,"2015-02-15 20:00:00"
"1015590",2,9,1.093,"2015-02-15 20:05:00"
"1015591",2,9,0.903,"2015-02-15 20:10:00"
"1015592",2,9,1.385,"2015-02-15 20:15:00"
"1015593",2,9,1.589,"2015-02-15 20:20:00"
"1015594",2,9,1.747,"2015-02-15 20:25:00"
"1015595",2,9,1.925,"2015-02-15 20:30:00"
"1015596",2,9,1.966,"2015-02-15 20:35:00"
"1015597",2,9,1.799,"2015-02-15 20:40:00"
"1015598",2,9,1.814,"2015-02-15 20:45:00"
"1015599",2,9,1.552,"2015-02-15 20:50:00"
"1015600",2,9,1.561,"2015-02-15 20:55:00"
"1015601",2,9,1.783,"2015-02-15 21:00:00"
"1015602",2,9,1.905,"2015-02-15 21:05:00"
"1015603",2,9,1.864,"2015-02-15 21:10:00"
"1015604",2,9,2.078,"2015-02-15 21:15:00"
"1015605",2,9,2.222,"2015-02-15 21:20:00"
"1015606",2,9,2.076,"2015-02-15 21:25:00"
"1015607",2,9,1.899,"2015-02-15 21:30:00"
"1015608",2,9,1.791,"2015-02-15 21:35:00"
"1015609",2,9,1.428,"2015-02-15 21:40:00"
"1015610",2,9,1.394,"2015-02-15 21:45:00"
"1015611",2,9,1.63,"2015-02-15 21:50:00"
"1015612",2,9,1.61,"2015-02-15 21:55:00"
"1015613",2,9,1.356,"2015-02-15 22:00:00"
"1015614",2,9,0.792,"2015-02-15 22:05:00"
"1015615",2,9,0.574,"2015-02-15 22:10:00"
"1015616",2,9,0.631,"2015-02-15 22:15:00"
"1015617",2,9,0.688,"2015-02-15 22:20:00"
