"","X2","X37","X1.43","X2010.02.17.16.40.00"
"913711",2,37,1.64,"2015-01-26 00:05:00"
"913712",2,37,1.67,"2015-01-26 00:10:00"
"913713",2,37,1.72,"2015-01-26 00:15:00"
"913714",2,37,1.43,"2015-01-26 00:20:00"
"913715",2,37,1.39,"2015-01-26 00:25:00"
"913716",2,37,1.28,"2015-01-26 00:30:00"
"913717",2,37,1.39,"2015-01-26 00:35:00"
"913718",2,37,1.57,"2015-01-26 00:40:00"
"913719",2,37,1.28,"2015-01-26 00:45:00"
"913720",2,37,1.2,"2015-01-26 00:50:00"
"913721",2,37,1.2,"2015-01-26 00:55:00"
"913722",2,37,1.04,"2015-01-26 01:00:00"
"913723",2,37,0.87,"2015-01-26 01:05:00"
"913724",2,37,1.41,"2015-01-26 01:10:00"
"913725",2,37,1.37,"2015-01-26 01:15:00"
"913726",2,37,2.14,"2015-01-26 01:20:00"
"913727",2,37,2.31,"2015-01-26 01:25:00"
"913728",2,37,2.48,"2015-01-26 01:30:00"
"913729",2,37,1.69,"2015-01-26 01:35:00"
"913730",2,37,1.41,"2015-01-26 01:40:00"
"913731",2,37,1.24,"2015-01-26 01:45:00"
"913732",2,37,0.83,"2015-01-26 01:50:00"
"913733",2,37,0.58,"2015-01-26 01:55:00"
"913734",2,37,0.72,"2015-01-26 02:00:00"
"913735",2,37,1.44,"2015-01-26 02:05:00"
"913736",2,37,1.48,"2015-01-26 02:10:00"
"913737",2,37,1.37,"2015-01-26 02:15:00"
"913738",2,37,1.53,"2015-01-26 02:20:00"
"913739",2,37,1.69,"2015-01-26 02:25:00"
"913740",2,37,1.64,"2015-01-26 02:30:00"
"913741",2,37,1.16,"2015-01-26 02:35:00"
"913742",2,37,1.85,"2015-01-26 02:40:00"
"913743",2,37,1.79,"2015-01-26 02:45:00"
"913744",2,37,1.2,"2015-01-26 02:50:00"
"913745",2,37,1.43,"2015-01-26 02:55:00"
"913746",2,37,1.99,"2015-01-26 03:00:00"
"913747",2,37,2.06,"2015-01-26 03:05:00"
"913748",2,37,2.14,"2015-01-26 03:10:00"
"913749",2,37,2.03,"2015-01-26 03:15:00"
"913750",2,37,2.31,"2015-01-26 03:20:00"
"913751",2,37,2.73,"2015-01-26 03:25:00"
"913752",2,37,3.45,"2015-01-26 03:30:00"
"913753",2,37,3.63,"2015-01-26 03:35:00"
"913754",2,37,3.5,"2015-01-26 03:40:00"
"913755",2,37,3.35,"2015-01-26 03:45:00"
"913756",2,37,2.97,"2015-01-26 03:50:00"
"913757",2,37,3.09,"2015-01-26 03:55:00"
"913758",2,37,3.2,"2015-01-26 04:00:00"
"913759",2,37,3.23,"2015-01-26 04:05:00"
"913760",2,37,2.59,"2015-01-26 04:10:00"
"913761",2,37,2.98,"2015-01-26 04:15:00"
"913762",2,37,2.74,"2015-01-26 04:20:00"
"913763",2,37,2.82,"2015-01-26 04:25:00"
"913764",2,37,2.54,"2015-01-26 04:30:00"
"913765",2,37,3.03,"2015-01-26 04:35:00"
"913766",2,37,3.3,"2015-01-26 04:40:00"
"913767",2,37,2.81,"2015-01-26 04:45:00"
"913768",2,37,3.02,"2015-01-26 04:50:00"
"913769",2,37,2.65,"2015-01-26 04:55:00"
"913770",2,37,3.03,"2015-01-26 05:00:00"
"913771",2,37,3.29,"2015-01-26 05:05:00"
"913772",2,37,3.23,"2015-01-26 05:10:00"
"913773",2,37,3.24,"2015-01-26 05:15:00"
"913774",2,37,3.17,"2015-01-26 05:20:00"
"913775",2,37,3.37,"2015-01-26 05:25:00"
"913776",2,37,3.23,"2015-01-26 05:30:00"
"913777",2,37,2.81,"2015-01-26 05:35:00"
"913778",2,37,3.04,"2015-01-26 05:40:00"
"913779",2,37,3.36,"2015-01-26 05:45:00"
"913780",2,37,3.99,"2015-01-26 05:50:00"
"913781",2,37,3.49,"2015-01-26 05:55:00"
"913782",2,37,3.04,"2015-01-26 06:00:00"
"913783",2,37,2.78,"2015-01-26 06:05:00"
"913784",2,37,2.77,"2015-01-26 06:10:00"
"913785",2,37,2.53,"2015-01-26 06:15:00"
"913786",2,37,3.03,"2015-01-26 06:20:00"
"913787",2,37,2.81,"2015-01-26 06:25:00"
"913788",2,37,3.37,"2015-01-26 06:30:00"
