"","X1","X21","X11.38","X2009.02.24.11.25.00"
"610336",1,21,12.96,"2015-02-15 15:05:00"
"610337",1,21,12.99,"2015-02-15 15:10:00"
"610338",1,21,13.01,"2015-02-15 15:15:00"
"610339",1,21,13.04,"2015-02-15 15:20:00"
"610340",1,21,13.07,"2015-02-15 15:25:00"
"610341",1,21,13.09,"2015-02-15 15:30:00"
"610342",1,21,13.12,"2015-02-15 15:35:00"
"610343",1,21,13.14,"2015-02-15 15:40:00"
"610344",1,21,13.17,"2015-02-15 15:45:00"
"610345",1,21,13.19,"2015-02-15 15:50:00"
"610346",1,21,13.22,"2015-02-15 15:55:00"
"610347",1,21,13.24,"2015-02-15 16:00:00"
"610348",1,21,13.27,"2015-02-15 16:05:00"
"610349",1,21,13.29,"2015-02-15 16:10:00"
"610350",1,21,13.32,"2015-02-15 16:15:00"
"610351",1,21,13.35,"2015-02-15 16:20:00"
"610352",1,21,13.37,"2015-02-15 16:25:00"
"610353",1,21,13.4,"2015-02-15 16:30:00"
"610354",1,21,13.42,"2015-02-15 16:35:00"
"610355",1,21,13.45,"2015-02-15 16:40:00"
"610356",1,21,13.46,"2015-02-15 16:45:00"
"610357",1,21,13.49,"2015-02-15 16:50:00"
"610358",1,21,13.51,"2015-02-15 16:55:00"
"610359",1,21,13.54,"2015-02-15 17:00:00"
"610360",1,21,13.56,"2015-02-15 17:05:00"
"610361",1,21,13.58,"2015-02-15 17:10:00"
"610362",1,21,13.6,"2015-02-15 17:15:00"
"610363",1,21,13.62,"2015-02-15 17:20:00"
"610364",1,21,13.65,"2015-02-15 17:25:00"
"610365",1,21,13.67,"2015-02-15 17:30:00"
"610366",1,21,13.69,"2015-02-15 17:35:00"
"610367",1,21,13.71,"2015-02-15 17:40:00"
"610368",1,21,13.73,"2015-02-15 17:45:00"
"610369",1,21,13.75,"2015-02-15 17:50:00"
"610370",1,21,13.77,"2015-02-15 17:55:00"
"610371",1,21,13.78,"2015-02-15 18:00:00"
"610372",1,21,13.8,"2015-02-15 18:05:00"
"610373",1,21,13.82,"2015-02-15 18:10:00"
"610374",1,21,13.83,"2015-02-15 18:15:00"
"610375",1,21,13.85,"2015-02-15 18:20:00"
"610376",1,21,13.87,"2015-02-15 18:25:00"
"610377",1,21,13.88,"2015-02-15 18:30:00"
"610378",1,21,13.89,"2015-02-15 18:35:00"
"610379",1,21,13.91,"2015-02-15 18:40:00"
