"","X1","X26","X1.915","X2009.02.24.11.25.00"
"529897",1,26,2.398,"2015-02-15 15:05:00"
"529898",1,26,2.341,"2015-02-15 15:10:00"
"529899",1,26,2.391,"2015-02-15 15:15:00"
"529900",1,26,2.514,"2015-02-15 15:20:00"
"529901",1,26,2.27,"2015-02-15 15:25:00"
"529902",1,26,1.87,"2015-02-15 15:30:00"
"529903",1,26,1.994,"2015-02-15 15:35:00"
"529904",1,26,1.702,"2015-02-15 15:40:00"
"529905",1,26,1.569,"2015-02-15 15:45:00"
"529906",1,26,1.482,"2015-02-15 15:50:00"
"529907",1,26,1.458,"2015-02-15 15:55:00"
"529908",1,26,1.353,"2015-02-15 16:00:00"
"529909",1,26,1.588,"2015-02-15 16:05:00"
"529910",1,26,1.403,"2015-02-15 16:10:00"
"529911",1,26,1.636,"2015-02-15 16:15:00"
"529912",1,26,1.377,"2015-02-15 16:20:00"
"529913",1,26,1.429,"2015-02-15 16:25:00"
"529914",1,26,1.158,"2015-02-15 16:30:00"
"529915",1,26,1.277,"2015-02-15 16:35:00"
"529916",1,26,1.453,"2015-02-15 16:40:00"
"529917",1,26,1.753,"2015-02-15 16:45:00"
"529918",1,26,1.435,"2015-02-15 16:50:00"
"529919",1,26,1.349,"2015-02-15 16:55:00"
"529920",1,26,1.524,"2015-02-15 17:00:00"
"529921",1,26,1.62,"2015-02-15 17:05:00"
"529922",1,26,1.447,"2015-02-15 17:10:00"
"529923",1,26,1.538,"2015-02-15 17:15:00"
"529924",1,26,2.511,"2015-02-15 17:20:00"
"529925",1,26,3.293,"2015-02-15 17:25:00"
"529926",1,26,3.355,"2015-02-15 17:30:00"
"529927",1,26,3.442,"2015-02-15 17:35:00"
"529928",1,26,3.579,"2015-02-15 17:40:00"
"529929",1,26,3.426,"2015-02-15 17:45:00"
"529930",1,26,3.092,"2015-02-15 17:50:00"
"529931",1,26,3.356,"2015-02-15 17:55:00"
"529932",1,26,3.289,"2015-02-15 18:00:00"
"529933",1,26,2.866,"2015-02-15 18:05:00"
"529934",1,26,2.661,"2015-02-15 18:10:00"
"529935",1,26,3.421,"2015-02-15 18:15:00"
"529936",1,26,3.124,"2015-02-15 18:20:00"
"529937",1,26,2.669,"2015-02-15 18:25:00"
"529938",1,26,3.274,"2015-02-15 18:30:00"
"529939",1,26,3.01,"2015-02-15 18:35:00"
"529940",1,26,2.827,"2015-02-15 18:40:00"
"529941",1,26,2.657,"2015-02-15 18:45:00"
"529942",1,26,2.617,"2015-02-15 18:50:00"
"529943",1,26,2.596,"2015-02-15 18:55:00"
"529944",1,26,2.445,"2015-02-15 19:00:00"
"529945",1,26,2.104,"2015-02-15 19:05:00"
"529946",1,26,2.047,"2015-02-15 19:10:00"
"529947",1,26,2.031,"2015-02-15 19:15:00"
"529948",1,26,2.426,"2015-02-15 19:20:00"
"529949",1,26,2.318,"2015-02-15 19:25:00"
"529950",1,26,2.722,"2015-02-15 19:30:00"
"529951",1,26,3.132,"2015-02-15 19:35:00"
"529952",1,26,3.053,"2015-02-15 19:40:00"
"529953",1,26,2.999,"2015-02-15 19:45:00"
"529954",1,26,2.726,"2015-02-15 19:50:00"
"529955",1,26,2.678,"2015-02-15 19:55:00"
"529956",1,26,2.353,"2015-02-15 20:00:00"
"529957",1,26,2.088,"2015-02-15 20:05:00"
"529958",1,26,1.821,"2015-02-15 20:10:00"
"529959",1,26,1.609,"2015-02-15 20:15:00"
"529960",1,26,1.697,"2015-02-15 20:20:00"
"529961",1,26,1.301,"2015-02-15 20:25:00"
"529962",1,26,1.285,"2015-02-15 20:30:00"
"529963",1,26,1.666,"2015-02-15 20:35:00"
"529964",1,26,2.49,"2015-02-15 20:40:00"
"529965",1,26,1.882,"2015-02-15 20:45:00"
"529966",1,26,1.849,"2015-02-15 20:50:00"
"529967",1,26,1.816,"2015-02-15 20:55:00"
"529968",1,26,1.762,"2015-02-15 21:00:00"
"529969",1,26,1.789,"2015-02-15 21:05:00"
"529970",1,26,1.746,"2015-02-15 21:10:00"
"529971",1,26,1.791,"2015-02-15 21:15:00"
"529972",1,26,1.807,"2015-02-15 21:20:00"
"529973",1,26,1.417,"2015-02-15 21:25:00"
"529974",1,26,0.982,"2015-02-15 21:30:00"
"529975",1,26,1.008,"2015-02-15 21:35:00"
"529976",1,26,1.293,"2015-02-15 21:40:00"
"529977",1,26,1.317,"2015-02-15 21:45:00"
"529978",1,26,1.162,"2015-02-15 21:50:00"
"529979",1,26,1.243,"2015-02-15 21:55:00"
"529980",1,26,0.849,"2015-02-15 22:00:00"
"529981",1,26,0.471,"2015-02-15 22:05:00"
"529982",1,26,0.681,"2015-02-15 22:10:00"
"529983",1,26,0.63,"2015-02-15 22:15:00"
"529984",1,26,0.717,"2015-02-15 22:20:00"
"529985",1,26,0.901,"2015-02-15 22:25:00"
"529986",1,26,1.414,"2015-02-15 22:30:00"
"529987",1,26,1.395,"2015-02-15 22:35:00"
"529988",1,26,1.345,"2015-02-15 22:40:00"
"529989",1,26,0.809,"2015-02-15 22:45:00"
"529990",1,26,1.101,"2015-02-15 22:50:00"
"529991",1,26,1.177,"2015-02-15 22:55:00"
"529992",1,26,1.185,"2015-02-15 23:00:00"
"529993",1,26,1.018,"2015-02-15 23:05:00"
"529994",1,26,0.896,"2015-02-15 23:10:00"
"529995",1,26,1.142,"2015-02-15 23:15:00"
"529996",1,26,1.726,"2015-02-15 23:20:00"
"529997",1,26,1.271,"2015-02-15 23:25:00"
"529998",1,26,1.592,"2015-02-15 23:30:00"
"529999",1,26,0.891,"2015-02-15 23:35:00"
"530000",1,26,0.966,"2015-02-15 23:40:00"
"530001",1,26,0.889,"2015-02-15 23:45:00"
"530002",1,26,0.705,"2015-02-15 23:50:00"
"530003",1,26,0.735,"2015-02-15 23:55:00"
"530004",1,26,0.641,"2015-02-16 00:00:00"
"530005",1,26,0.631,"2015-02-16 00:05:00"
"530006",1,26,1.189,"2015-02-16 00:10:00"
"530007",1,26,1.268,"2015-02-16 00:15:00"
"530008",1,26,1.091,"2015-02-16 00:20:00"
"530009",1,26,0.983,"2015-02-16 00:25:00"
"530010",1,26,1.26,"2015-02-16 00:30:00"
"530011",1,26,1.601,"2015-02-16 00:35:00"
"530012",1,26,1.203,"2015-02-16 00:40:00"
"530013",1,26,1.703,"2015-02-16 00:45:00"
"530014",1,26,1.442,"2015-02-16 00:50:00"
"530015",1,26,1.181,"2015-02-16 00:55:00"
"530016",1,26,0.522,"2015-02-16 01:00:00"
"530017",1,26,0.307,"2015-02-16 01:05:00"
"530018",1,26,0.278,"2015-02-16 01:10:00"
"530019",1,26,0.567,"2015-02-16 01:15:00"
"530020",1,26,0.614,"2015-02-16 01:20:00"
"530021",1,26,0.641,"2015-02-16 01:25:00"
"530022",1,26,0.75,"2015-02-16 01:30:00"
"530023",1,26,1.062,"2015-02-16 01:35:00"
"530024",1,26,0.899,"2015-02-16 01:40:00"
"530025",1,26,0.473,"2015-02-16 01:45:00"
"530026",1,26,0.715,"2015-02-16 01:50:00"
"530027",1,26,0.899,"2015-02-16 01:55:00"
"530028",1,26,1.36,"2015-02-16 02:00:00"
"530029",1,26,1.453,"2015-02-16 02:05:00"
"530030",1,26,1.492,"2015-02-16 02:10:00"
"530031",1,26,1.255,"2015-02-16 02:15:00"
"530032",1,26,0.641,"2015-02-16 02:20:00"
"530033",1,26,0.501,"2015-02-16 02:25:00"
"530034",1,26,0.357,"2015-02-16 02:30:00"
"530035",1,26,0.678,"2015-02-16 02:35:00"
"530036",1,26,1.427,"2015-02-16 02:40:00"
"530037",1,26,1.52,"2015-02-16 02:45:00"
"530038",1,26,1.733,"2015-02-16 02:50:00"
"530039",1,26,1.94,"2015-02-16 02:55:00"
"530040",1,26,2.462,"2015-02-16 03:00:00"
"530041",1,26,2.364,"2015-02-16 03:05:00"
"530042",1,26,2.251,"2015-02-16 03:10:00"
"530043",1,26,1.666,"2015-02-16 03:15:00"
"530044",1,26,1.858,"2015-02-16 03:20:00"
"530045",1,26,1.729,"2015-02-16 03:25:00"
"530046",1,26,1.837,"2015-02-16 03:30:00"
"530047",1,26,1.652,"2015-02-16 03:35:00"
"530048",1,26,1.666,"2015-02-16 03:40:00"
"530049",1,26,1.828,"2015-02-16 03:45:00"
"530050",1,26,1.757,"2015-02-16 03:50:00"
"530051",1,26,1.858,"2015-02-16 03:55:00"
"530052",1,26,1.671,"2015-02-16 04:00:00"
"530053",1,26,1.343,"2015-02-16 04:05:00"
"530054",1,26,1.329,"2015-02-16 04:10:00"
"530055",1,26,1.626,"2015-02-16 04:15:00"
"530056",1,26,1.614,"2015-02-16 04:20:00"
"530057",1,26,1.671,"2015-02-16 04:25:00"
"530058",1,26,1.568,"2015-02-16 04:30:00"
"530059",1,26,1.769,"2015-02-16 04:35:00"
"530060",1,26,1.47,"2015-02-16 04:40:00"
"530061",1,26,1.667,"2015-02-16 04:45:00"
"530062",1,26,1.989,"2015-02-16 04:50:00"
"530063",1,26,2.504,"2015-02-16 04:55:00"
"530064",1,26,2.499,"2015-02-16 05:00:00"
"530065",1,26,2.359,"2015-02-16 05:05:00"
"530066",1,26,2.331,"2015-02-16 05:10:00"
"530067",1,26,2.424,"2015-02-16 05:15:00"
"530068",1,26,2.623,"2015-02-16 05:20:00"
"530069",1,26,2.53,"2015-02-16 05:25:00"
"530070",1,26,2.526,"2015-02-16 05:30:00"
"530071",1,26,2.927,"2015-02-16 05:35:00"
"530072",1,26,2.83,"2015-02-16 05:40:00"
"530073",1,26,2.793,"2015-02-16 05:45:00"
"530074",1,26,2.202,"2015-02-16 05:50:00"
"530075",1,26,1.916,"2015-02-16 05:55:00"
"530076",1,26,1.771,"2015-02-16 06:00:00"
"530077",1,26,1.896,"2015-02-16 06:05:00"
"530078",1,26,1.956,"2015-02-16 06:10:00"
"530079",1,26,1.847,"2015-02-16 06:15:00"
"530080",1,26,1.882,"2015-02-16 06:20:00"
"530081",1,26,1.425,"2015-02-16 06:25:00"
"530082",1,26,1.686,"2015-02-16 06:30:00"
"530083",1,26,2.649,"2015-02-16 06:35:00"
"530084",1,26,2.992,"2015-02-16 06:40:00"
"530085",1,26,3.116,"2015-02-16 06:45:00"
"530086",1,26,3.174,"2015-02-16 06:50:00"
"530087",1,26,3.504,"2015-02-16 06:55:00"
"530088",1,26,3.478,"2015-02-16 07:00:00"
"530089",1,26,3.644,"2015-02-16 07:05:00"
"530090",1,26,3.349,"2015-02-16 07:10:00"
"530091",1,26,3.445,"2015-02-16 07:15:00"
"530092",1,26,4.205,"2015-02-16 07:20:00"
"530093",1,26,4.29,"2015-02-16 07:25:00"
"530094",1,26,4.171,"2015-02-16 07:30:00"
"530095",1,26,4.168,"2015-02-16 07:35:00"
"530096",1,26,3.726,"2015-02-16 07:40:00"
"530097",1,26,3.495,"2015-02-16 07:45:00"
"530098",1,26,3.032,"2015-02-16 07:50:00"
"530099",1,26,3.219,"2015-02-16 07:55:00"
"530100",1,26,3.284,"2015-02-16 08:00:00"
"530101",1,26,2.85,"2015-02-16 08:05:00"
"530102",1,26,2.881,"2015-02-16 08:10:00"
"530103",1,26,3.284,"2015-02-16 08:15:00"
"530104",1,26,3.427,"2015-02-16 08:20:00"
"530105",1,26,3.377,"2015-02-16 08:25:00"
"530106",1,26,3.566,"2015-02-16 08:30:00"
"530107",1,26,3.6,"2015-02-16 08:35:00"
"530108",1,26,3.191,"2015-02-16 08:40:00"
"530109",1,26,3.27,"2015-02-16 08:45:00"
"530110",1,26,3.308,"2015-02-16 08:50:00"
"530111",1,26,3.685,"2015-02-16 08:55:00"
"530112",1,26,3.329,"2015-02-16 09:00:00"
"530113",1,26,3.951,"2015-02-16 09:05:00"
"530114",1,26,3.588,"2015-02-16 09:10:00"
"530115",1,26,3.544,"2015-02-16 09:15:00"
"530116",1,26,3.318,"2015-02-16 09:20:00"
"530117",1,26,3.658,"2015-02-16 09:25:00"
"530118",1,26,4.484,"2015-02-16 09:30:00"
"530119",1,26,4.26,"2015-02-16 09:35:00"
"530120",1,26,4.765,"2015-02-16 09:40:00"
"530121",1,26,3.915,"2015-02-16 09:45:00"
"530122",1,26,3.253,"2015-02-16 09:50:00"
"530123",1,26,3.342,"2015-02-16 09:55:00"
"530124",1,26,5.071,"2015-02-16 10:00:00"
"530125",1,26,5.617,"2015-02-16 10:05:00"
"530126",1,26,6.308,"2015-02-16 10:10:00"
"530127",1,26,5.832,"2015-02-16 10:15:00"
"530128",1,26,5.814,"2015-02-16 10:20:00"
"530129",1,26,5.535,"2015-02-16 10:25:00"
"530130",1,26,5.298,"2015-02-16 10:30:00"
"530131",1,26,5.728,"2015-02-16 10:35:00"
"530132",1,26,5.226,"2015-02-16 10:40:00"
"530133",1,26,5.126,"2015-02-16 10:45:00"
"530134",1,26,5.322,"2015-02-16 10:50:00"
"530135",1,26,4.791,"2015-02-16 10:55:00"
"530136",1,26,4.313,"2015-02-16 11:00:00"
"530137",1,26,3.861,"2015-02-16 11:05:00"
"530138",1,26,4.106,"2015-02-16 11:10:00"
"530139",1,26,4.572,"2015-02-16 11:15:00"
"530140",1,26,4.592,"2015-02-16 11:20:00"
"530141",1,26,5.365,"2015-02-16 11:25:00"
"530142",1,26,4.978,"2015-02-16 11:30:00"
"530143",1,26,4.73,"2015-02-16 11:35:00"
"530144",1,26,5.39,"2015-02-16 11:40:00"
"530145",1,26,4.746,"2015-02-16 11:45:00"
"530146",1,26,5.212,"2015-02-16 11:50:00"
"530147",1,26,4.997,"2015-02-16 11:55:00"
"530148",1,26,5.39,"2015-02-16 12:00:00"
"530149",1,26,5.018,"2015-02-16 12:05:00"
"530150",1,26,4.539,"2015-02-16 12:10:00"
"530151",1,26,4.234,"2015-02-16 12:15:00"
"530152",1,26,4.745,"2015-02-16 12:20:00"
"530153",1,26,4.559,"2015-02-16 12:25:00"
"530154",1,26,3.758,"2015-02-16 12:30:00"
"530155",1,26,3.593,"2015-02-16 12:35:00"
"530156",1,26,3.794,"2015-02-16 12:40:00"
"530157",1,26,3.751,"2015-02-16 12:45:00"
"530158",1,26,4.526,"2015-02-16 12:50:00"
"530159",1,26,4.469,"2015-02-16 12:55:00"
"530160",1,26,4.859,"2015-02-16 13:00:00"
"530161",1,26,4.025,"2015-02-16 13:05:00"
"530162",1,26,4.379,"2015-02-16 13:10:00"
"530163",1,26,4.312,"2015-02-16 13:15:00"
"530164",1,26,3.634,"2015-02-16 13:20:00"
"530165",1,26,4.376,"2015-02-16 13:25:00"
"530166",1,26,4.144,"2015-02-16 13:30:00"
"530167",1,26,3.6,"2015-02-16 13:35:00"
"530168",1,26,3.745,"2015-02-16 13:40:00"
"530169",1,26,3.545,"2015-02-16 13:45:00"
"530170",1,26,4.354,"2015-02-16 13:50:00"
"530171",1,26,4.176,"2015-02-16 13:55:00"
"530172",1,26,4.245,"2015-02-16 14:00:00"
"530173",1,26,4.957,"2015-02-16 14:05:00"
"530174",1,26,4.526,"2015-02-16 14:10:00"
"530175",1,26,3.828,"2015-02-16 14:15:00"
"530176",1,26,4.635,"2015-02-16 14:20:00"
"530177",1,26,3.955,"2015-02-16 14:25:00"
"530178",1,26,3.668,"2015-02-16 14:30:00"
"530179",1,26,4.059,"2015-02-16 14:35:00"
