"","X1","X40","X1.2","X2010.02.17.17.00.00"
"463817",1,40,0.98,"2015-01-26 00:05:00"
"463818",1,40,1.54,"2015-01-26 00:10:00"
"463819",1,40,2.02,"2015-01-26 00:15:00"
"463820",1,40,2.31,"2015-01-26 00:20:00"
"463821",1,40,1.96,"2015-01-26 00:25:00"
"463822",1,40,2.35,"2015-01-26 00:30:00"
"463823",1,40,2,"2015-01-26 00:35:00"
"463824",1,40,2.29,"2015-01-26 00:40:00"
"463825",1,40,1.86,"2015-01-26 00:45:00"
"463826",1,40,0.76,"2015-01-26 00:50:00"
"463827",1,40,0.43,"2015-01-26 00:55:00"
"463828",1,40,0.8,"2015-01-26 01:00:00"
"463829",1,40,0.99,"2015-01-26 01:05:00"
"463830",1,40,1.64,"2015-01-26 01:10:00"
"463831",1,40,2.34,"2015-01-26 01:15:00"
"463832",1,40,2.59,"2015-01-26 01:20:00"
"463833",1,40,2.81,"2015-01-26 01:25:00"
"463834",1,40,2.35,"2015-01-26 01:30:00"
"463835",1,40,2.38,"2015-01-26 01:35:00"
"463836",1,40,1.65,"2015-01-26 01:40:00"
"463837",1,40,1.19,"2015-01-26 01:45:00"
"463838",1,40,0.86,"2015-01-26 01:50:00"
"463839",1,40,0.65,"2015-01-26 01:55:00"
"463840",1,40,1.09,"2015-01-26 02:00:00"
"463841",1,40,0.93,"2015-01-26 02:05:00"
"463842",1,40,0.74,"2015-01-26 02:10:00"
"463843",1,40,0.67,"2015-01-26 02:15:00"
"463844",1,40,0.89,"2015-01-26 02:20:00"
"463845",1,40,0.97,"2015-01-26 02:25:00"
"463846",1,40,1.44,"2015-01-26 02:30:00"
"463847",1,40,1.51,"2015-01-26 02:35:00"
"463848",1,40,2.41,"2015-01-26 02:40:00"
"463849",1,40,2.51,"2015-01-26 02:45:00"
"463850",1,40,2.63,"2015-01-26 02:50:00"
"463851",1,40,2.65,"2015-01-26 02:55:00"
"463852",1,40,2.46,"2015-01-26 03:00:00"
"463853",1,40,2.15,"2015-01-26 03:05:00"
"463854",1,40,2.38,"2015-01-26 03:10:00"
"463855",1,40,2.17,"2015-01-26 03:15:00"
"463856",1,40,2.27,"2015-01-26 03:20:00"
"463857",1,40,1.89,"2015-01-26 03:25:00"
"463858",1,40,2.72,"2015-01-26 03:30:00"
"463859",1,40,3.76,"2015-01-26 03:35:00"
"463860",1,40,4.84,"2015-01-26 03:40:00"
"463861",1,40,5.16,"2015-01-26 03:45:00"
"463862",1,40,4.44,"2015-01-26 03:50:00"
"463863",1,40,3.87,"2015-01-26 03:55:00"
"463864",1,40,3.36,"2015-01-26 04:00:00"
"463865",1,40,3.27,"2015-01-26 04:05:00"
"463866",1,40,3.94,"2015-01-26 04:10:00"
"463867",1,40,3.74,"2015-01-26 04:15:00"
"463868",1,40,3.89,"2015-01-26 04:20:00"
"463869",1,40,2.98,"2015-01-26 04:25:00"
"463870",1,40,3.18,"2015-01-26 04:30:00"
"463871",1,40,3.4,"2015-01-26 04:35:00"
"463872",1,40,3.07,"2015-01-26 04:40:00"
"463873",1,40,3.97,"2015-01-26 04:45:00"
"463874",1,40,3.92,"2015-01-26 04:50:00"
"463875",1,40,4.37,"2015-01-26 04:55:00"
"463876",1,40,4.34,"2015-01-26 05:00:00"
"463877",1,40,4.08,"2015-01-26 05:05:00"
"463878",1,40,4.44,"2015-01-26 05:10:00"
"463879",1,40,4.2,"2015-01-26 05:15:00"
"463880",1,40,3.65,"2015-01-26 05:20:00"
"463881",1,40,3.45,"2015-01-26 05:25:00"
"463882",1,40,3.17,"2015-01-26 05:30:00"
"463883",1,40,3.45,"2015-01-26 05:35:00"
"463884",1,40,3.69,"2015-01-26 05:40:00"
"463885",1,40,4.38,"2015-01-26 05:45:00"
"463886",1,40,4.67,"2015-01-26 05:50:00"
"463887",1,40,4.83,"2015-01-26 05:55:00"
"463888",1,40,4.37,"2015-01-26 06:00:00"
"463889",1,40,3.78,"2015-01-26 06:05:00"
"463890",1,40,3.5,"2015-01-26 06:10:00"
"463891",1,40,3.79,"2015-01-26 06:15:00"
"463892",1,40,3.99,"2015-01-26 06:20:00"
"463893",1,40,4.03,"2015-01-26 06:25:00"
"463894",1,40,3.9,"2015-01-26 06:30:00"
"463895",1,40,3.62,"2015-01-26 06:35:00"
"463896",1,40,3.79,"2015-01-26 06:40:00"
"463897",1,40,3.94,"2015-01-26 06:45:00"
"463898",1,40,4.18,"2015-01-26 06:50:00"
"463899",1,40,4.13,"2015-01-26 06:55:00"
"463900",1,40,3.82,"2015-01-26 07:00:00"
"463901",1,40,3.99,"2015-01-26 07:05:00"
"463902",1,40,4.13,"2015-01-26 07:10:00"
"463903",1,40,3.33,"2015-01-26 07:15:00"
"463904",1,40,3.28,"2015-01-26 07:20:00"
"463905",1,40,3.41,"2015-01-26 07:25:00"
"463906",1,40,3.82,"2015-01-26 07:30:00"
"463907",1,40,4.02,"2015-01-26 07:35:00"
"463908",1,40,3.07,"2015-01-26 07:40:00"
"463909",1,40,3.88,"2015-01-26 07:45:00"
"463910",1,40,4.21,"2015-01-26 07:50:00"
"463911",1,40,3.32,"2015-01-26 07:55:00"
"463912",1,40,3.24,"2015-01-26 08:00:00"
"463913",1,40,2.95,"2015-01-26 08:05:00"
"463914",1,40,2.94,"2015-01-26 08:10:00"
"463915",1,40,3.01,"2015-01-26 08:15:00"
"463916",1,40,2.62,"2015-01-26 08:20:00"
"463917",1,40,3.3,"2015-01-26 08:25:00"
"463918",1,40,3.32,"2015-01-26 08:30:00"
"463919",1,40,3.01,"2015-01-26 08:35:00"
"463920",1,40,2.89,"2015-01-26 08:40:00"
"463921",1,40,2.34,"2015-01-26 08:45:00"
"463922",1,40,2.65,"2015-01-26 08:50:00"
"463923",1,40,2.84,"2015-01-26 08:55:00"
"463924",1,40,2.65,"2015-01-26 09:00:00"
"463925",1,40,3.04,"2015-01-26 09:05:00"
"463926",1,40,3.29,"2015-01-26 09:10:00"
