"","X2","X7","X359.9","X2009.01.26.11.55.00"
"771849",2,7,153.6,"2015-01-26 00:05:00"
"771850",2,7,145.8,"2015-01-26 00:10:00"
"771851",2,7,137.6,"2015-01-26 00:15:00"
"771852",2,7,121.5,"2015-01-26 00:20:00"
"771853",2,7,117.9,"2015-01-26 00:25:00"
"771854",2,7,132.1,"2015-01-26 00:30:00"
"771855",2,7,118.6,"2015-01-26 00:35:00"
"771856",2,7,120.7,"2015-01-26 00:40:00"
"771857",2,7,135.2,"2015-01-26 00:45:00"
"771858",2,7,124.1,"2015-01-26 00:50:00"
"771859",2,7,95.2,"2015-01-26 00:55:00"
"771860",2,7,90.4,"2015-01-26 01:00:00"
"771861",2,7,61.95,"2015-01-26 01:05:00"
"771862",2,7,89.9,"2015-01-26 01:10:00"
"771863",2,7,102.9,"2015-01-26 01:15:00"
"771864",2,7,122.7,"2015-01-26 01:20:00"
"771865",2,7,111.3,"2015-01-26 01:25:00"
"771866",2,7,109.1,"2015-01-26 01:30:00"
"771867",2,7,100.7,"2015-01-26 01:35:00"
"771868",2,7,93.2,"2015-01-26 01:40:00"
"771869",2,7,85.3,"2015-01-26 01:45:00"
"771870",2,7,84.2,"2015-01-26 01:50:00"
"771871",2,7,72.32,"2015-01-26 01:55:00"
"771872",2,7,39.79,"2015-01-26 02:00:00"
"771873",2,7,3.689,"2015-01-26 02:05:00"
"771874",2,7,9.12,"2015-01-26 02:10:00"
"771875",2,7,358.5,"2015-01-26 02:15:00"
"771876",2,7,342.8,"2015-01-26 02:20:00"
"771877",2,7,351.8,"2015-01-26 02:25:00"
"771878",2,7,14.29,"2015-01-26 02:30:00"
"771879",2,7,19.4,"2015-01-26 02:35:00"
"771880",2,7,18.1,"2015-01-26 02:40:00"
"771881",2,7,19.7,"2015-01-26 02:45:00"
"771882",2,7,1.197,"2015-01-26 02:50:00"
"771883",2,7,349.3,"2015-01-26 02:55:00"
"771884",2,7,353.5,"2015-01-26 03:00:00"
"771885",2,7,347.3,"2015-01-26 03:05:00"
"771886",2,7,351.2,"2015-01-26 03:10:00"
"771887",2,7,350.8,"2015-01-26 03:15:00"
"771888",2,7,354.1,"2015-01-26 03:20:00"
"771889",2,7,348.5,"2015-01-26 03:25:00"
"771890",2,7,343,"2015-01-26 03:30:00"
"771891",2,7,346.6,"2015-01-26 03:35:00"
"771892",2,7,354.6,"2015-01-26 03:40:00"
"771893",2,7,359,"2015-01-26 03:45:00"
"771894",2,7,3.397,"2015-01-26 03:50:00"
"771895",2,7,359.7,"2015-01-26 03:55:00"
"771896",2,7,353,"2015-01-26 04:00:00"
"771897",2,7,0,"2015-01-26 04:05:00"
"771898",2,7,2.201,"2015-01-26 04:10:00"
"771899",2,7,355.1,"2015-01-26 04:15:00"
"771900",2,7,333.6,"2015-01-26 04:20:00"
"771901",2,7,330.4,"2015-01-26 04:25:00"
"771902",2,7,322.8,"2015-01-26 04:30:00"
"771903",2,7,331.9,"2015-01-26 04:35:00"
"771904",2,7,343.9,"2015-01-26 04:40:00"
"771905",2,7,342.7,"2015-01-26 04:45:00"
"771906",2,7,341.2,"2015-01-26 04:50:00"
"771907",2,7,326.1,"2015-01-26 04:55:00"
"771908",2,7,339.2,"2015-01-26 05:00:00"
"771909",2,7,345.2,"2015-01-26 05:05:00"
"771910",2,7,336.2,"2015-01-26 05:10:00"
"771911",2,7,344.6,"2015-01-26 05:15:00"
"771912",2,7,342,"2015-01-26 05:20:00"
"771913",2,7,343,"2015-01-26 05:25:00"
"771914",2,7,338.6,"2015-01-26 05:30:00"
"771915",2,7,335.7,"2015-01-26 05:35:00"
"771916",2,7,342.2,"2015-01-26 05:40:00"
"771917",2,7,339.1,"2015-01-26 05:45:00"
"771918",2,7,341.1,"2015-01-26 05:50:00"
"771919",2,7,341.9,"2015-01-26 05:55:00"
"771920",2,7,340.6,"2015-01-26 06:00:00"
"771921",2,7,329.9,"2015-01-26 06:05:00"
"771922",2,7,332.6,"2015-01-26 06:10:00"
"771923",2,7,337.2,"2015-01-26 06:15:00"
"771924",2,7,336.6,"2015-01-26 06:20:00"
"771925",2,7,331.8,"2015-01-26 06:25:00"
"771926",2,7,331.9,"2015-01-26 06:30:00"
"771927",2,7,340.9,"2015-01-26 06:35:00"
