"","X2","X38","X1.247","X2010.02.17.16.40.00"
"696325",2,38,0,"2015-01-26 00:05:00"
"696326",2,38,0,"2015-01-26 00:10:00"
"696327",2,38,0,"2015-01-26 00:15:00"
"696328",2,38,0,"2015-01-26 00:20:00"
"696329",2,38,0,"2015-01-26 00:25:00"
"696330",2,38,0,"2015-01-26 00:30:00"
"696331",2,38,0,"2015-01-26 00:35:00"
"696332",2,38,0,"2015-01-26 00:40:00"
"696333",2,38,0,"2015-01-26 00:45:00"
"696334",2,38,0,"2015-01-26 00:50:00"
"696335",2,38,0,"2015-01-26 00:55:00"
"696336",2,38,0,"2015-01-26 01:00:00"
"696337",2,38,0,"2015-01-26 01:05:00"
"696338",2,38,0,"2015-01-26 01:10:00"
"696339",2,38,0,"2015-01-26 01:15:00"
"696340",2,38,0,"2015-01-26 01:20:00"
"696341",2,38,0,"2015-01-26 01:25:00"
"696342",2,38,0,"2015-01-26 01:30:00"
"696343",2,38,0,"2015-01-26 01:35:00"
"696344",2,38,0,"2015-01-26 01:40:00"
"696345",2,38,0,"2015-01-26 01:45:00"
"696346",2,38,0,"2015-01-26 01:50:00"
"696347",2,38,0,"2015-01-26 01:55:00"
"696348",2,38,0,"2015-01-26 02:00:00"
"696349",2,38,0,"2015-01-26 02:05:00"
"696350",2,38,0,"2015-01-26 02:10:00"
"696351",2,38,0,"2015-01-26 02:15:00"
"696352",2,38,0,"2015-01-26 02:20:00"
"696353",2,38,0,"2015-01-26 02:25:00"
"696354",2,38,0,"2015-01-26 02:30:00"
"696355",2,38,0,"2015-01-26 02:35:00"
"696356",2,38,0,"2015-01-26 02:40:00"
"696357",2,38,0,"2015-01-26 02:45:00"
"696358",2,38,0,"2015-01-26 02:50:00"
"696359",2,38,0,"2015-01-26 02:55:00"
"696360",2,38,0,"2015-01-26 03:00:00"
"696361",2,38,0,"2015-01-26 03:05:00"
"696362",2,38,0,"2015-01-26 03:10:00"
"696363",2,38,0,"2015-01-26 03:15:00"
"696364",2,38,0,"2015-01-26 03:20:00"
"696365",2,38,0,"2015-01-26 03:25:00"
"696366",2,38,0,"2015-01-26 03:30:00"
"696367",2,38,0,"2015-01-26 03:35:00"
"696368",2,38,0,"2015-01-26 03:40:00"
"696369",2,38,0,"2015-01-26 03:45:00"
"696370",2,38,0,"2015-01-26 03:50:00"
"696371",2,38,0,"2015-01-26 03:55:00"
"696372",2,38,0,"2015-01-26 04:00:00"
"696373",2,38,0,"2015-01-26 04:05:00"
"696374",2,38,0,"2015-01-26 04:10:00"
"696375",2,38,0,"2015-01-26 04:15:00"
"696376",2,38,0,"2015-01-26 04:20:00"
"696377",2,38,0,"2015-01-26 04:25:00"
"696378",2,38,0,"2015-01-26 04:30:00"
"696379",2,38,0,"2015-01-26 04:35:00"
"696380",2,38,0,"2015-01-26 04:40:00"
"696381",2,38,0,"2015-01-26 04:45:00"
"696382",2,38,0,"2015-01-26 04:50:00"
"696383",2,38,0,"2015-01-26 04:55:00"
"696384",2,38,0,"2015-01-26 05:00:00"
"696385",2,38,0,"2015-01-26 05:05:00"
"696386",2,38,0,"2015-01-26 05:10:00"
"696387",2,38,0,"2015-01-26 05:15:00"
"696388",2,38,0,"2015-01-26 05:20:00"
"696389",2,38,0,"2015-01-26 05:25:00"
"696390",2,38,0,"2015-01-26 05:30:00"
"696391",2,38,0,"2015-01-26 05:35:00"
"696392",2,38,0,"2015-01-26 05:40:00"
"696393",2,38,0,"2015-01-26 05:45:00"
"696394",2,38,0,"2015-01-26 05:50:00"
"696395",2,38,0,"2015-01-26 05:55:00"
"696396",2,38,0,"2015-01-26 06:00:00"
"696397",2,38,0,"2015-01-26 06:05:00"
"696398",2,38,0,"2015-01-26 06:10:00"
"696399",2,38,0,"2015-01-26 06:15:00"
"696400",2,38,0,"2015-01-26 06:20:00"
"696401",2,38,0,"2015-01-26 06:25:00"
"696402",2,38,0,"2015-01-26 06:30:00"
"696403",2,38,0,"2015-01-26 06:35:00"
"696404",2,38,0,"2015-01-26 06:40:00"
"696405",2,38,0,"2015-01-26 06:45:00"
"696406",2,38,0,"2015-01-26 06:50:00"
"696407",2,38,0,"2015-01-26 06:55:00"
"696408",2,38,2.234,"2015-01-26 07:00:00"
"696409",2,38,2.314,"2015-01-26 07:05:00"
"696410",2,38,1.78,"2015-01-26 07:10:00"
"696411",2,38,2.367,"2015-01-26 07:15:00"
"696412",2,38,2.287,"2015-01-26 07:20:00"
"696413",2,38,2.02,"2015-01-26 07:25:00"
"696414",2,38,2.18,"2015-01-26 07:30:00"
"696415",2,38,1.834,"2015-01-26 07:35:00"
"696416",2,38,1.754,"2015-01-26 07:40:00"
"696417",2,38,1.78,"2015-01-26 07:45:00"
"696418",2,38,1.434,"2015-01-26 07:50:00"
"696419",2,38,0,"2015-01-26 07:55:00"
"696420",2,38,0,"2015-01-26 08:00:00"
"696421",2,38,1.247,"2015-01-26 08:05:00"
"696422",2,38,1.834,"2015-01-26 08:10:00"
"696423",2,38,2.074,"2015-01-26 08:15:00"
"696424",2,38,1.994,"2015-01-26 08:20:00"
"696425",2,38,1.914,"2015-01-26 08:25:00"
"696426",2,38,2.02,"2015-01-26 08:30:00"
"696427",2,38,2.42,"2015-01-26 08:35:00"
"696428",2,38,2.74,"2015-01-26 08:40:00"
"696429",2,38,2.1,"2015-01-26 08:45:00"
"696430",2,38,1.034,"2015-01-26 08:50:00"
"696431",2,38,0,"2015-01-26 08:55:00"
"696432",2,38,1.407,"2015-01-26 09:00:00"
"696433",2,38,2.767,"2015-01-26 09:05:00"
"696434",2,38,3.087,"2015-01-26 09:10:00"
"696435",2,38,3.007,"2015-01-26 09:15:00"
"696436",2,38,3.514,"2015-01-26 09:20:00"
"696437",2,38,2.794,"2015-01-26 09:25:00"
"696438",2,38,3.034,"2015-01-26 09:30:00"
"696439",2,38,2.794,"2015-01-26 09:35:00"
"696440",2,38,2.687,"2015-01-26 09:40:00"
"696441",2,38,2.154,"2015-01-26 09:45:00"
"696442",2,38,2.26,"2015-01-26 09:50:00"
"696443",2,38,0,"2015-01-26 09:55:00"
"696444",2,38,0,"2015-01-26 10:00:00"
"696445",2,38,1.94,"2015-01-26 10:05:00"
"696446",2,38,1.887,"2015-01-26 10:10:00"
"696447",2,38,3.087,"2015-01-26 10:15:00"
"696448",2,38,3.194,"2015-01-26 10:20:00"
"696449",2,38,2.234,"2015-01-26 10:25:00"
"696450",2,38,3.274,"2015-01-26 10:30:00"
"696451",2,38,2.954,"2015-01-26 10:35:00"
"696452",2,38,3.78,"2015-01-26 10:40:00"
"696453",2,38,3.06,"2015-01-26 10:45:00"
"696454",2,38,3.274,"2015-01-26 10:50:00"
"696455",2,38,3.167,"2015-01-26 10:55:00"
"696456",2,38,3.834,"2015-01-26 11:00:00"
"696457",2,38,3.327,"2015-01-26 11:05:00"
"696458",2,38,2.394,"2015-01-26 11:10:00"
"696459",2,38,2.607,"2015-01-26 11:15:00"
"696460",2,38,2.367,"2015-01-26 11:20:00"
"696461",2,38,2.687,"2015-01-26 11:25:00"
"696462",2,38,2.74,"2015-01-26 11:30:00"
"696463",2,38,3.38,"2015-01-26 11:35:00"
"696464",2,38,3.647,"2015-01-26 11:40:00"
"696465",2,38,3.354,"2015-01-26 11:45:00"
"696466",2,38,3.647,"2015-01-26 11:50:00"
"696467",2,38,3.247,"2015-01-26 11:55:00"
"696468",2,38,2.927,"2015-01-26 12:00:00"
"696469",2,38,2.607,"2015-01-26 12:05:00"
"696470",2,38,3.22,"2015-01-26 12:10:00"
"696471",2,38,0.634,"2015-01-26 12:15:00"
"696472",2,38,2.554,"2015-01-26 12:20:00"
"696473",2,38,0.554,"2015-01-26 12:25:00"
"696474",2,38,0.474,"2015-01-26 12:30:00"
"696475",2,38,2.634,"2015-01-26 12:35:00"
"696476",2,38,2.74,"2015-01-26 12:40:00"
"696477",2,38,0.5,"2015-01-26 12:45:00"
"696478",2,38,0.58,"2015-01-26 12:50:00"
"696479",2,38,2.874,"2015-01-26 12:55:00"
"696480",2,38,2.714,"2015-01-26 13:00:00"
"696481",2,38,1.78,"2015-01-26 13:05:00"
"696482",2,38,2.207,"2015-01-26 13:10:00"
"696483",2,38,2.207,"2015-01-26 13:15:00"
"696484",2,38,2.1,"2015-01-26 13:20:00"
"696485",2,38,1.38,"2015-01-26 13:25:00"
"696486",2,38,0.474,"2015-01-26 13:30:00"
"696487",2,38,0,"2015-01-26 13:35:00"
"696488",2,38,0.9,"2015-01-26 13:40:00"
"696489",2,38,0,"2015-01-26 13:45:00"
"696490",2,38,0,"2015-01-26 13:50:00"
"696491",2,38,0.474,"2015-01-26 13:55:00"
"696492",2,38,0,"2015-01-26 14:00:00"
"696493",2,38,0,"2015-01-26 14:05:00"
"696494",2,38,0,"2015-01-26 14:10:00"
"696495",2,38,0,"2015-01-26 14:15:00"
"696496",2,38,0.607,"2015-01-26 14:20:00"
"696497",2,38,0,"2015-01-26 14:25:00"
"696498",2,38,0,"2015-01-26 14:30:00"
"696499",2,38,0,"2015-01-26 14:35:00"
"696500",2,38,0,"2015-01-26 14:40:00"
"696501",2,38,0,"2015-01-26 14:45:00"
"696502",2,38,0,"2015-01-26 14:50:00"
"696503",2,38,0,"2015-01-26 14:55:00"
"696504",2,38,0,"2015-01-26 15:00:00"
