"","X1","X32","X14.54","X2009.03.18.09.40.00"
"598172",1,32,16.78,"2015-01-26 00:05:00"
"598173",1,32,16.78,"2015-01-26 00:10:00"
"598174",1,32,16.78,"2015-01-26 00:15:00"
"598175",1,32,16.78,"2015-01-26 00:20:00"
"598176",1,32,16.78,"2015-01-26 00:25:00"
"598177",1,32,16.78,"2015-01-26 00:30:00"
"598178",1,32,16.78,"2015-01-26 00:35:00"
"598179",1,32,16.78,"2015-01-26 00:40:00"
"598180",1,32,16.78,"2015-01-26 00:45:00"
"598181",1,32,16.78,"2015-01-26 00:50:00"
"598182",1,32,16.78,"2015-01-26 00:55:00"
"598183",1,32,16.78,"2015-01-26 01:00:00"
"598184",1,32,16.78,"2015-01-26 01:05:00"
"598185",1,32,16.78,"2015-01-26 01:10:00"
"598186",1,32,16.78,"2015-01-26 01:15:00"
"598187",1,32,16.78,"2015-01-26 01:20:00"
"598188",1,32,16.78,"2015-01-26 01:25:00"
"598189",1,32,16.78,"2015-01-26 01:30:00"
"598190",1,32,16.78,"2015-01-26 01:35:00"
"598191",1,32,16.78,"2015-01-26 01:40:00"
"598192",1,32,16.78,"2015-01-26 01:45:00"
"598193",1,32,16.78,"2015-01-26 01:50:00"
"598194",1,32,16.78,"2015-01-26 01:55:00"
"598195",1,32,16.78,"2015-01-26 02:00:00"
"598196",1,32,16.78,"2015-01-26 02:05:00"
"598197",1,32,16.78,"2015-01-26 02:10:00"
"598198",1,32,16.77,"2015-01-26 02:15:00"
"598199",1,32,16.78,"2015-01-26 02:20:00"
"598200",1,32,16.78,"2015-01-26 02:25:00"
"598201",1,32,16.78,"2015-01-26 02:30:00"
"598202",1,32,16.78,"2015-01-26 02:35:00"
"598203",1,32,16.77,"2015-01-26 02:40:00"
"598204",1,32,16.77,"2015-01-26 02:45:00"
"598205",1,32,16.78,"2015-01-26 02:50:00"
"598206",1,32,16.78,"2015-01-26 02:55:00"
"598207",1,32,16.78,"2015-01-26 03:00:00"
"598208",1,32,16.78,"2015-01-26 03:05:00"
"598209",1,32,16.78,"2015-01-26 03:10:00"
"598210",1,32,16.78,"2015-01-26 03:15:00"
"598211",1,32,16.78,"2015-01-26 03:20:00"
"598212",1,32,16.78,"2015-01-26 03:25:00"
"598213",1,32,16.78,"2015-01-26 03:30:00"
"598214",1,32,16.78,"2015-01-26 03:35:00"
"598215",1,32,16.79,"2015-01-26 03:40:00"
"598216",1,32,16.79,"2015-01-26 03:45:00"
"598217",1,32,16.79,"2015-01-26 03:50:00"
"598218",1,32,16.79,"2015-01-26 03:55:00"
"598219",1,32,16.79,"2015-01-26 04:00:00"
"598220",1,32,16.79,"2015-01-26 04:05:00"
"598221",1,32,16.79,"2015-01-26 04:10:00"
"598222",1,32,16.79,"2015-01-26 04:15:00"
"598223",1,32,16.79,"2015-01-26 04:20:00"
"598224",1,32,16.79,"2015-01-26 04:25:00"
"598225",1,32,16.79,"2015-01-26 04:30:00"
"598226",1,32,16.79,"2015-01-26 04:35:00"
"598227",1,32,16.79,"2015-01-26 04:40:00"
"598228",1,32,16.79,"2015-01-26 04:45:00"
"598229",1,32,16.79,"2015-01-26 04:50:00"
"598230",1,32,16.8,"2015-01-26 04:55:00"
"598231",1,32,16.79,"2015-01-26 05:00:00"
"598232",1,32,16.79,"2015-01-26 05:05:00"
"598233",1,32,16.8,"2015-01-26 05:10:00"
"598234",1,32,16.79,"2015-01-26 05:15:00"
"598235",1,32,16.79,"2015-01-26 05:20:00"
"598236",1,32,16.8,"2015-01-26 05:25:00"
"598237",1,32,16.79,"2015-01-26 05:30:00"
"598238",1,32,16.8,"2015-01-26 05:35:00"
"598239",1,32,16.8,"2015-01-26 05:40:00"
"598240",1,32,16.8,"2015-01-26 05:45:00"
"598241",1,32,16.8,"2015-01-26 05:50:00"
"598242",1,32,16.8,"2015-01-26 05:55:00"
"598243",1,32,16.79,"2015-01-26 06:00:00"
"598244",1,32,16.79,"2015-01-26 06:05:00"
"598245",1,32,16.79,"2015-01-26 06:10:00"
"598246",1,32,16.8,"2015-01-26 06:15:00"
"598247",1,32,16.79,"2015-01-26 06:20:00"
"598248",1,32,16.8,"2015-01-26 06:25:00"
"598249",1,32,16.8,"2015-01-26 06:30:00"
"598250",1,32,16.79,"2015-01-26 06:35:00"
"598251",1,32,16.8,"2015-01-26 06:40:00"
"598252",1,32,16.8,"2015-01-26 06:45:00"
"598253",1,32,16.79,"2015-01-26 06:50:00"
"598254",1,32,16.8,"2015-01-26 06:55:00"
"598255",1,32,16.79,"2015-01-26 07:00:00"
"598256",1,32,16.8,"2015-01-26 07:05:00"
