"","X1","X39","X1.247","X2010.02.17.16.40.00"
"503642",1,39,0.874,"2015-01-26 00:05:00"
"503643",1,39,0.794,"2015-01-26 00:10:00"
"503644",1,39,0.927,"2015-01-26 00:15:00"
"503645",1,39,0.74,"2015-01-26 00:20:00"
"503646",1,39,0.767,"2015-01-26 00:25:00"
"503647",1,39,0.794,"2015-01-26 00:30:00"
"503648",1,39,0.74,"2015-01-26 00:35:00"
"503649",1,39,0.794,"2015-01-26 00:40:00"
"503650",1,39,0.687,"2015-01-26 00:45:00"
"503651",1,39,0,"2015-01-26 00:50:00"
"503652",1,39,0,"2015-01-26 00:55:00"
"503653",1,39,0.954,"2015-01-26 01:00:00"
"503654",1,39,0.687,"2015-01-26 01:05:00"
"503655",1,39,0.5,"2015-01-26 01:10:00"
"503656",1,39,0.634,"2015-01-26 01:15:00"
"503657",1,39,1.087,"2015-01-26 01:20:00"
"503658",1,39,1.114,"2015-01-26 01:25:00"
"503659",1,39,0.9,"2015-01-26 01:30:00"
"503660",1,39,0,"2015-01-26 01:35:00"
"503661",1,39,0,"2015-01-26 01:40:00"
"503662",1,39,0,"2015-01-26 01:45:00"
"503663",1,39,0,"2015-01-26 01:50:00"
"503664",1,39,0,"2015-01-26 01:55:00"
"503665",1,39,0,"2015-01-26 02:00:00"
"503666",1,39,0,"2015-01-26 02:05:00"
"503667",1,39,0,"2015-01-26 02:10:00"
"503668",1,39,0,"2015-01-26 02:15:00"
"503669",1,39,0,"2015-01-26 02:20:00"
"503670",1,39,0,"2015-01-26 02:25:00"
"503671",1,39,0,"2015-01-26 02:30:00"
"503672",1,39,0,"2015-01-26 02:35:00"
"503673",1,39,1.167,"2015-01-26 02:40:00"
"503674",1,39,1.46,"2015-01-26 02:45:00"
"503675",1,39,1.487,"2015-01-26 02:50:00"
"503676",1,39,1.674,"2015-01-26 02:55:00"
"503677",1,39,1.487,"2015-01-26 03:00:00"
"503678",1,39,1.247,"2015-01-26 03:05:00"
"503679",1,39,1.274,"2015-01-26 03:10:00"
"503680",1,39,0.874,"2015-01-26 03:15:00"
"503681",1,39,1.46,"2015-01-26 03:20:00"
"503682",1,39,1.38,"2015-01-26 03:25:00"
"503683",1,39,1.887,"2015-01-26 03:30:00"
"503684",1,39,2.554,"2015-01-26 03:35:00"
"503685",1,39,3.167,"2015-01-26 03:40:00"
"503686",1,39,3.3,"2015-01-26 03:45:00"
"503687",1,39,2.927,"2015-01-26 03:50:00"
"503688",1,39,2.234,"2015-01-26 03:55:00"
"503689",1,39,2.18,"2015-01-26 04:00:00"
"503690",1,39,1.514,"2015-01-26 04:05:00"
"503691",1,39,2.474,"2015-01-26 04:10:00"
"503692",1,39,2.1,"2015-01-26 04:15:00"
"503693",1,39,2.634,"2015-01-26 04:20:00"
"503694",1,39,1.78,"2015-01-26 04:25:00"
"503695",1,39,2.02,"2015-01-26 04:30:00"
"503696",1,39,1.834,"2015-01-26 04:35:00"
"503697",1,39,2.02,"2015-01-26 04:40:00"
"503698",1,39,2.394,"2015-01-26 04:45:00"
"503699",1,39,2.42,"2015-01-26 04:50:00"
"503700",1,39,2.794,"2015-01-26 04:55:00"
"503701",1,39,3.14,"2015-01-26 05:00:00"
"503702",1,39,2.634,"2015-01-26 05:05:00"
"503703",1,39,3.46,"2015-01-26 05:10:00"
"503704",1,39,3.22,"2015-01-26 05:15:00"
"503705",1,39,2.687,"2015-01-26 05:20:00"
"503706",1,39,2.527,"2015-01-26 05:25:00"
"503707",1,39,2.314,"2015-01-26 05:30:00"
"503708",1,39,2.287,"2015-01-26 05:35:00"
"503709",1,39,2.607,"2015-01-26 05:40:00"
"503710",1,39,2.74,"2015-01-26 05:45:00"
"503711",1,39,2.954,"2015-01-26 05:50:00"
"503712",1,39,3.007,"2015-01-26 05:55:00"
"503713",1,39,2.74,"2015-01-26 06:00:00"
"503714",1,39,2.714,"2015-01-26 06:05:00"
"503715",1,39,2.5,"2015-01-26 06:10:00"
"503716",1,39,2.66,"2015-01-26 06:15:00"
"503717",1,39,2.847,"2015-01-26 06:20:00"
"503718",1,39,2.767,"2015-01-26 06:25:00"
"503719",1,39,2.687,"2015-01-26 06:30:00"
"503720",1,39,2.66,"2015-01-26 06:35:00"
"503721",1,39,2.714,"2015-01-26 06:40:00"
"503722",1,39,2.82,"2015-01-26 06:45:00"
"503723",1,39,2.687,"2015-01-26 06:50:00"
"503724",1,39,2.794,"2015-01-26 06:55:00"
"503725",1,39,2.74,"2015-01-26 07:00:00"
"503726",1,39,2.794,"2015-01-26 07:05:00"
"503727",1,39,2.954,"2015-01-26 07:10:00"
