"","day_of_year","et","rain"
"1",1,0.670979049220625,0
"2",2,0.790299794194396,0
"3",3,0.612713377848663,0.254
"4",4,0.620144294828619,0
"5",5,0.897011733606746,0
"6",6,0.589187063406787,0.254
"7",7,0.9113015993792,0
"8",8,0.708596914820689,0.254
"9",9,1.01282053084716,0.254
"10",10,1.20804447678266,0
"11",11,0.892740009044024,0.254
"12",12,0.793272774996544,1.016
"13",13,0.862970585205415,0.254
"14",14,0.925533086699162,0.254
"15",15,0.903184290718828,5.588
"16",16,1.08059614367789,23.368
"17",17,1.18235496891417,1.27
"18",18,1.22668020041601,12.192
"19",19,0.932286730710427,0
"20",20,0.95574422679622,0.254
"21",21,1.1795661109933,0
"22",22,1.15996858625703,0
"23",23,0.919095838872668,0.254
"24",24,1.2763671960071,0
"25",25,1.18814913988634,0.254
"26",26,0.981280200174186,0.254
"27",27,1.02870864342364,0.254
"28",28,1.16972884644813,0.254
"29",29,1.19175600108991,0
"30",30,1.0067926056123,0.254
"31",31,1.02931578008672,0.254
"32",32,1.87032442731767,0.508
"33",33,2.56224343560136,1.27
"34",34,2.26307363223805,4.826
"35",35,2.59299128796667,0
"36",36,2.773707654452,3.302
"37",37,2.75792506965015,12.192
"38",38,2.86861093717381,18.034
"39",39,2.57779537538592,1.778
"40",40,1.88947114822044,11.684
"41",41,1.83900599446368,0.254
"42",42,1.47372152072429,0
"43",43,2.54383694837609,0.254
"44",44,1.69968855464836,0.254
"45",45,2.24217646464274,0
"46",46,2.27001737056392,0.254
"47",47,1.91286251593257,0
"48",48,2.37291693392526,0.254
"49",49,2.0714659237006,0
"50",50,2.22306692214344,0.254
"51",51,1.60562483430977,0
"52",52,1.83503917377604,0
"53",53,2.04880592584802,0
"54",54,2.33072188454538,0
"55",55,2.42836752150203,0
"56",56,2.72203345110727,0
"57",57,2.98190232825423,1.016
"58",58,3.26377776813723,1.016
"59",59,3.36523686268477,0
"60",60,2.90594794341077,0
"61",61,3.38548233455255,0
"62",62,3.76038926883606,0
"63",63,1.90347208612975,0
"64",64,1.53460485760669,0
"65",65,1.70982849847342,0
"66",66,1.63869180121267,0
"67",67,2.0867004825665,0
"68",68,2.32783845619984,0
"69",69,1.81773733013687,0
"70",70,1.61185776575086,1.27
"71",71,2.16803251733947,1.27
"72",72,2.32094638650094,0.254
"73",73,2.34436227276754,1.27
"74",74,1.77142150819435,3.81
"75",75,2.30592531779807,3.81
"76",76,2.14889041290517,1.016
"77",77,1.94375790189707,0
"78",78,2.25996533987431,0
"79",79,2.07355646893599,0
"80",80,1.36758731326929,0.508
"81",81,1.46457511035375,1.016
"82",82,1.466481248596,2.032
