Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-11-12,50.2,38.3,30.4,41.5,35.2,28.2,97,89,67,30.72,30.60,4,1,5,0.04 
2010-11-13,47.1,38.3,28.6,42.4,35.3,27.3,98,89,72,30.74,30.52,4,0,4,0.00 
2010-11-14,55.0,43.7,37.9,47.3,41.4,36.5,100,92,75,30.54,30.39,4,0,4,0.00 
2010-11-15,60.3,45.0,37.0,50.5,42.7,35.4,98,92,63,30.45,30.27,4,1,4,0.00 
2010-11-16,54.7,39.0,30.4,43.5,35.6,28.4,98,88,53,30.32,30.24,4,0,5,0.00 
2010-11-17,56.3,37.5,25.3,40.3,29.1,5.2,100,77,13,30.28,30.02,15,1,19,0.00 
2010-11-18,55.8,46.7,37.6,42.6,34.3,-0.8,93,69,10,30.03,29.91,33,5,33,0.03 
2010-11-19,44.8,36.6,27.1,36.9,30.6,23.7,95,80,51,29.94,29.78,11,1,15,0.03 
2010-11-20,40.3,32.6,25.9,34.7,29.7,23.0,96,89,69,29.79,29.56,14,1,17,0.03 
2010-11-21,43.3,34.5,30.6,34.5,31.5,26.6,97,90,57,29.99,29.59,14,1,16,0.24 
2010-11-22,43.0,36.0,27.7,36.7,31.4,26.6,100,84,60,30.13,29.84,24,4,26,0.52 
2010-11-23,38.7,31.2,21.0,35.1,22.4,14.0,94,71,44,30.21,29.83,13,2,17,0.58 
2010-11-24,36.0,25.8,16.2,27.0,19.5,13.3,90,78,50,30.43,30.20,5,1,6,0.00 
2010-11-25,40.5,28.4,19.9,29.7,23.5,17.4,92,83,54,30.51,30.37,5,1,7,0.00 
2010-11-26,38.3,31.0,23.2,35.1,28.2,21.2,100,90,73,30.38,29.98,8,1,10,0.12 
2010-11-27,35.2,31.5,22.8,33.6,30.4,21.4,97,95,89,30.06,29.84,3,0,4,0.37 
2010-11-28,37.2,25.2,16.3,30.7,22.9,14.2,100,91,66,30.47,30.06,5,1,6,0.25 
2010-11-29,32.7,24.8,16.0,29.5,22.6,14.0,100,91,82,30.61,30.47,4,1,5,0.03 
2010-11-30,41.7,32.0,28.6,36.3,29.5,27.0,95,90,76,30.53,30.28,5,1,7,0.23 
2010-12-1,40.5,36.3,33.6,39.2,35.5,32.9,100,97,93,30.32,30.13,3,0,4,0.01 
2010-12-2,36.9,34.6,32.7,36.3,34.0,32.0,98,98,96,30.19,30.09,3,0,3,0.05 
