date,C1-1,C2-1,C3-1,C4-1,C5-2,C6-2,C7-2,C8-2,C9-3,C10-3,C11-3,C12-3,C13-4,C14-4,C15-4,C16-4,C17-5,C18-5,C19-5,C20-5,C21-6,C22-6,C23-6,C24-6,C25-7,C26-7,C27-7,C28-7,C29-8,C30-8,C31-8,C32-8,C33-9,C34-9,C35-9,C36-9,C37-10,C38-10,C39-10,C40-10,C41-11,C42-11,C43-11,C44-11,C45-12,C46-12,C47-12,C48-12
1/17/2015 10:45,5.024,4.895,5.05,4.999,13.666,13.305,13.738,13.618,12.703,12.896,13.185,13.449,12.485,12.389,13.497,13.401,11.759,12.171,11.102,11.248,15.557,15.748,15.629,15.223,14.098,13.305,13.449,13.401,14.026,13.185,13.161,12.751,12.534,13.257,13.305,12.582,12.534,12.823,12.05,12.871,12.534,14.194,14.984,12.775,13.016,13.016,12.147,12.098
1/17/2015 11:00,4.818,4.662,4.714,4.48,12.001,11.856,12.074,11.88,12.098,12.147,12.001,12.485,11.589,10.956,11.127,11.394,13.233,14.505,12.92,12.582,11.783,12.098,12.074,12.292,12.727,12.582,12.92,13.257,12.243,12.871,13.257,12.871,13.016,12.558,12.268,12.534,12.775,12.992,13.016,12.678,11.977,12.654,13.978,12.098,-94.792,11.321,11.005,11.54
1/17/2015 11:15,4.818,4.61,4.506,4.194,7.87,7.82,7.619,7.142,10.492,9.361,9.114,8.891,12.678,12.703,14.266,12.389,13.185,15.031,13.137,13.233,11.807,12.509,12.606,11.637,13.209,12.509,12.944,13.449,12.871,13.281,13.762,12.703,10.638,10.883,10.907,11.175,11.224,11.759,11.589,12.195,12.292,13.112,14.577,12.968,-94.792,11.492,16.677,11.904
1/17/2015 11:30,4.844,4.532,4.428,4.037,7.116,6.864,6.712,6.458,8.792,7.645,7.192,7.015,13.04,13.281,14.505,13.233,12.775,13.401,12.098,12.268,9.015,8.295,7.945,7.569,10.785,10.565,14.098,10.687,11.297,11.029,11.54,12.05,10.638,11.127,11.856,12.582,10.492,11.273,11.394,12.582,10.858,10.785,11.127,11.734,-94.792,14.745,14.457,14.122
1/17/2015 11:45,4.895,4.506,4.35,3.958,7.217,6.611,6.281,6,8.618,7.242,6.763,6.535,8.891,8.419,8.195,7.494,13.978,14.888,13.209,13.69,8.394,7.519,7.393,6.889,8.543,8.27,7.368,6.965,11.2,11.953,18.033,12.678,10.394,9.435,8.767,8.319,14.768,15.199,15.438,15.652,10.785,11.029,11.394,12.485,-94.792,14.481,14.17,13.882
1/17/2015 12:00,4.973,4.506,4.324,3.932,6.99,6.357,6,5.719,8.643,6.965,6.382,6.153,8.245,7.72,7.745,6.661,8.319,7.945,7.419,7.242,8.195,7.217,6.839,6.408,7.895,7.268,6.56,6.408,13.209,14.266,12.968,12.582,8.841,7.041,6.281,5.847,14.17,14.888,15.055,15.175,14.625,15.27,14.505,14.122,-94.792,13.81,13.594,12.968
1/17/2015 12:15,5.076,4.506,4.298,3.88,7.066,6.153,5.847,5.539,8.841,6.889,6.102,5.924,8.369,7.066,6.889,6.281,8.295,7.67,6.94,6.737,8.045,6.839,6.509,6.128,7.318,6.357,6.204,6.077,12.389,12.654,11.807,11.662,9.163,6.94,6.077,5.616,13.473,14.337,17.106,12.968,14.457,15.151,14.242,13.954,-94.792,8.792,7.066,6.179
1/17/2015 12:30,5.179,4.506,4.298,3.88,7.066,6.051,5.719,5.411,9.064,6.864,6.051,5.796,8.519,6.94,6.535,5.924,8.245,7.293,6.712,6.458,7.995,6.661,6.306,5.949,7.217,6.255,6,5.898,9.928,9.756,9.829,9.682,9.213,6.965,6.051,5.591,11.005,10.565,9.657,10.492,13.257,14.218,14.026,13.425,-94.792,7.368,6.102,5.385
1/17/2015 12:45,5.282,4.506,4.272,3.88,7.142,5.975,5.642,5.334,9.238,6.813,6,5.693,8.717,6.889,6.306,5.693,8.145,7.066,6.509,6.255,8.095,6.585,6.179,5.847,7.419,6.255,5.898,5.745,9.46,8.668,8.095,7.444,9.287,7.015,6.051,5.565,8.494,7.97,8.02,7.419,12.147,9.903,9.41,8.07,-94.792,7.242,6,5.308
1/17/2015 13:00,5.385,4.532,4.272,3.854,7.167,5.949,5.616,5.282,10.736,9.558,10.198,6.433,8.965,6.864,6.153,5.565,8.245,6.965,6.382,6.102,8.195,6.56,6.102,5.796,7.569,6.23,5.796,5.642,9.188,7.995,7.217,6.763,9.361,7.066,6.077,5.565,7.469,6.914,7.015,6.94,9.706,7.419,6.56,6.102,-94.792,7.268,6,5.282
