"","day","et","precip","irrig","aw","rech"
"1",1,0,0,0,0,0
"2",2,0,0,0,0,0
"3",3,0,0.0254,0,0,0
"4",4,0,0,0,0,0
"5",5,0,0,0,0,0
"6",6,0,0.0254,0,0,0
"7",7,0,0,0,0,0
"8",8,0,0.0254,0,0,0
"9",9,0,0.0254,0,0,0
"10",10,0,0,0,0,0
"11",11,0,0.0254,0,0,0
"12",12,0,0.1016,0,0,0
"13",13,0,0.0254,0,0,0
"14",14,0,0.0254,0,0,0
"15",15,0,0.5588,0,0,0
"16",16,0,2.3368,0,0,0
"17",17,0.863646050756978,0.127,0,0.0406353949243022,0
"18",18,1.20674388266131,1.2192,0,1.13916100665817,0
"19",19,1.14694461445111,0,0,1.02446654521306,0
"20",20,1.24443268056824,0.0254,0,0.925423277156236,0
"21",21,1.28377603451968,0,0,0.797045673704268,0
"22",22,1.08574976690185,0,0,0.688470697014083,0
"23",23,1.37960864789137,0.0254,0,0.575909832224946,0
"24",24,1.52777908833169,0,0,0.423131923391777,0
"25",25,1.54987471610053,0.0254,0,0.293544451781724,0
"26",26,1.15807962371185,0.0254,0,0.203136489410539,0
"27",27,1.07628404128793,0.0254,0,0.120908085281746,0
"28",28,1.42171429649588,0.0254,0,0.00413665563215801,0
"29",29,1.5437071108939,0,0,-0.150234055457232,0
"30",30,1.70862914602032,0.0254,0,-0.295696970059264,0
"31",31,1.79370027433928,0.0254,0,-0.449666997493192,0
"32",32,1.51776182168624,0.0508,0,-0.550643179661816,0
"33",33,1.18458354683285,0.127,0,-0.542101534345101,0
"34",34,1.30807770542926,0.4826,0,-0.190309304888027,0
"35",35,1.39045763099403,0,0,-0.32935506798743,0
"36",36,1.2095331641179,0.3302,0,-0.12010838439922,0
"37",37,1.5968543486887,1.2192,0,0.93940618073191,0
"38",38,1.84519294779999,1.8034,0,2.55828688595191,0
"39",39,2.06788443594669,0.1778,0,2.52929844235724,0
"40",40,2.09256772287521,1.1684,0,3.48844167006972,0
"41",41,2.20304904451915,0.0254,0,3.29353676561781,0
"42",42,2.19975774189921,0,0,3.07356099142789,0
"43",43,0.863929903845229,0.0254,0,3.01256800104336,0
"44",44,2.06159977528722,0.0254,0,2.83180802351464,0
"45",45,2.07252638089025,0,0,2.62455538542561,0
"46",46,1.75339585068192,0.0254,0,2.47461580035742,0
"47",47,2.19898712848162,0,0,2.25471708750926,0
"48",48,2.66172507272159,0.0254,0,2.0139445802371,0
"49",49,2.42239705571935,0,23.11376148384,12.46,12.4254663585052
"50",50,1.95339785407451,0.0254,18.50346363816,12.46,18.3335238527526
"51",51,1.37257206793428,0,0,12.3227427932066,0
"52",52,1.41169633803527,0,2.44696463616,12.46,2.16853779556305
"53",53,1.68149333575706,0,0.90911007408,12.46,0.740960740504296
"54",54,1.99076131558363,0,0,12.2609238684416,0
"55",55,0.984716042177648,0,0,12.1624522642239,0
"56",56,0.595465947416931,0,0,12.1029056694822,0
"57",57,1.26539918982027,0.1016,0,12.0779657505002,0
"58",58,1.4149304526092,0.1016,0,12.0380727052392,0
"59",59,1.64433470857754,0,0,11.8736392343815,0
"60",60,2.33772521081997,0,0,11.6398667132995,0
"61",61,2.32190537096352,0,0,11.4076761762031,0
"62",62,1.49111311278819,0,0,11.2585648649243,0
"63",63,2.11133180110941,0,16.19596365576,12.46,14.7833953405734
"64",64,2.53871072416437,0,67.55539328112,12.46,67.3015222087036
"65",65,1.06127324205452,0,3.42396199128,12.46,3.31783466707455
"66",66,1.83581753173346,0,0,12.2764182468267,0
"67",67,1.50445658786396,0,0,12.1259725880403,0
"68",68,2.1922566324421,0,0,11.906746924796,0
"69",69,2.90088629045333,0,0,11.6166582957507,0
"70",70,3.3657863277264,0.127,0,11.4070796629781,0
"71",71,2.23953038317949,0.127,0,11.3101266246601,0
"72",72,2.96795849196224,0.0254,0,11.0387307754639,0
"73",73,2.52584355898703,0.127,0,10.9131464195652,0
"74",74,2.31397084604835,0.381,0,11.0627493349604,0
"75",75,1.83444960361976,0.381,0,11.2603043745984,0
"76",76,1.66912284226175,0.1016,0,11.1949920903722,0
"77",77,2.88345697610673,0,0,10.9066463927615,0
"78",78,3.64459726147291,0,0,10.5421866666143,0
"79",79,3.68483907139126,0,0,10.1737027594751,0
"80",80,3.22431438148557,0.0508,0,9.90207132132657,0
"81",81,3.76921234933254,0.1016,0,9.62675008639331,0
"82",82,2.70830402632018,0.2032,0,9.5591196837613,0
"83",83,3.93399055471407,0.508,0,9.67372062828989,0
"84",84,2.63655427702823,0,0,9.41006520058706,0
"85",85,3.67878859330321,0.0254,0,9.06758634125674,0
"86",86,4.07274174081014,0,0,8.66031216717573,0
"87",87,4.12918632561438,0,0,8.24739353461429,0
"88",88,4.17820694051237,0,0,7.82957284056305,0
"89",89,4.3696445986472,0,0,7.39260838069833,0
"90",90,4.34589025527118,0.0762,0,7.03421935517122,0
"91",91,3.36957323878843,0,0,6.69726203129237,0
"92",92,4.07793327662009,0,0,6.28946870363036,0
"93",93,1.49889882116757,0,0,6.13957882151361,0
"94",94,3.51994304166398,0,95.11334380392,12.46,88.4409283212672
"95",95,3.94742618886611,0.381,0,12.4462573811134,0
"96",96,3.01486558568074,0,0,12.1447708225453,0
"97",97,2.21722316942932,0.0508,0,11.9738485056024,0
"98",98,2.52016904377672,0.0762,0,11.7980316012247,0
"99",99,1.53277107922641,0,0,11.6447544933021,0
"100",100,2.68552351931042,0,0,11.376202141371,0
"101",101,4.02793683868056,0,0,10.973408457503,0
