"","day","et","precip","irrig","aw","rech"
"1",1,0,0,0,0,0
"2",2,0,0,0,0,0
"3",3,0,0.0254,0,0,0
"4",4,0,0,0,0,0
"5",5,0,0,0,0,0
"6",6,0,0.0254,0,0,0
"7",7,0,0,0,0,0
"8",8,0,0.0254,0,0,0
"9",9,0,0.0254,0,0,0
"10",10,0,0,0,0,0
"11",11,0,0.0254,0,0,0
"12",12,0,0.1016,0,0,0
"13",13,0,0.0254,0,0,0
"14",14,0,0.0254,0,0,0
"15",15,0,0.5588,0,0,0
"16",16,0,2.3368,0,0,0
"17",17,0.863646050756978,0.127,0,0.0406353949243022,0
"18",18,1.20674388266131,1.2192,0,1.13916100665817,0
"19",19,1.14694461445111,0,0,1.02446654521306,0
"20",20,1.24443268056824,0.0254,0,0.925423277156236,0
"21",21,1.28377603451968,0,0,0.797045673704268,0
"22",22,1.08574976690185,0,0,0.688470697014083,0
"23",23,1.37960864789137,0.0254,0,0.575909832224946,0
"24",24,1.52777908833169,0,0,0.423131923391777,0
"25",25,1.54987471610053,0.0254,0,0.293544451781724,0
"26",26,1.15807962371185,0.0254,0,0.203136489410539,0
"27",27,1.07628404128793,0.0254,0,0.120908085281746,0
"28",28,1.42171429649588,0.0254,0,0.00413665563215801,0
"29",29,1.5437071108939,0,0,-0.150234055457232,0
"30",30,1.70862914602032,0.0254,0,-0.295696970059264,0
"31",31,1.79370027433928,0.0254,0,-0.449666997493192,0
"32",32,1.51776182168624,0.0508,0,-0.550643179661816,0
"33",33,1.18458354683285,0.127,0,-0.542101534345101,0
"34",34,1.30807770542926,0.4826,0,-0.190309304888027,0
"35",35,1.39045763099403,0,0,-0.32935506798743,0
"36",36,1.2095331641179,0.3302,0,-0.12010838439922,0
"37",37,1.5968543486887,1.2192,0,0.93940618073191,0
"38",38,1.84519294779999,1.8034,0,2.55828688595191,0
"39",39,2.06788443594669,0.1778,0,2.52929844235724,0
"40",40,2.09256772287521,1.1684,0,3.48844167006972,0
"41",41,2.20304904451915,0.0254,0,3.29353676561781,0
"42",42,2.19975774189921,0,0,3.07356099142789,0
"43",43,0.863929903845229,0.0254,0,3.01256800104336,0
"44",44,2.06159977528722,0.0254,0,2.83180802351464,0
"45",45,2.07252638089025,0,0,2.62455538542561,0
"46",46,1.75339585068192,0.0254,0,2.47461580035742,0
"47",47,2.19898712848162,0,0,2.25471708750926,0
"48",48,2.66172507272159,0.0254,0,2.0139445802371,0
"49",49,2.42239705571935,0,0,1.77170487466517,0
"50",50,1.95339785407451,0.0254,0,1.60176508925772,0
"51",51,1.37257206793428,0,0,1.46450788246429,0
"52",52,1.41169633803527,0,0,1.32333824866076,0
"53",53,1.68149333575706,0,0,1.15518891508505,0
"54",54,1.99076131558363,0,0,0.956112783526692,0
"55",55,0.984716042177648,0,0,0.857641179308927,0
"56",56,0.595465947416931,0,0,0.798094584567234,0
"57",57,1.26539918982027,0.1016,0,0.773154665585207,0
"58",58,1.4149304526092,0.1016,0,0.733261620324287,0
"59",59,1.64433470857754,0,0,0.568828149466533,0
"60",60,2.33772521081997,0,0,0.335055628384536,0
"61",61,2.32190537096352,0,0,0.102865091288184,0
"62",62,1.49111311278819,0,0,-0.046246219990635,0
"63",63,2.11133180110941,0,0,-0.257379400101576,0
"64",64,2.53871072416437,0,0,-0.511250472518013,0
"65",65,1.06127324205452,0,0,-0.617377796723465,0
"66",66,1.83581753173346,0,0,-0.800959549896811,0
"67",67,1.50445658786396,0,0,-0.951405208683207,0
"68",68,2.1922566324421,0,0,-1.17063087192742,0
"69",69,2.90088629045333,0,0,-1.46071950097275,0
"70",70,3.3657863277264,0.127,0,-1.67029813374539,0
"71",71,2.23953038317949,0.127,0,-1.76725117206334,0
"72",72,2.96795849196224,0.0254,0,-2.03864702125956,0
"73",73,2.52584355898703,0.127,0,-2.16423137715827,0
"74",74,2.31397084604835,0.381,0,-2.0146284617631,0
"75",75,1.83444960361976,0.381,0,-1.81707342212508,0
"76",76,1.66912284226175,0.1016,0,-1.88238570635125,0
"77",77,2.88345697610673,0,0,-2.17073140396192,0
"78",78,3.64459726147291,0,0,-2.53519113010922,0
"79",79,3.68483907139126,0,0,-2.90367503724834,0
"80",80,3.22431438148557,0.0508,0,-3.1753064753969,0
"81",81,3.76921234933254,0.1016,0,-3.45062771033015,0
"82",82,2.70830402632018,0.2032,0,-3.51825811296217,0
"83",83,3.93399055471407,0.508,0,-3.40365716843358,0
"84",84,2.63655427702823,0,0,-3.6673125961364,0
"85",85,3.67878859330321,0.0254,0,-4.00979145546672,0
"86",86,4.07274174081014,0,0,-4.41706562954774,0
"87",87,4.12918632561438,0,0,-4.82998426210917,0
"88",88,4.17820694051237,0,0,-5.24780495616041,0
"89",89,4.3696445986472,0,0,-5.68476941602513,0
"90",90,4.34589025527118,0.0762,0,-6.04315844155225,0
"91",91,3.36957323878843,0,0,-6.38011576543109,0
"92",92,4.07793327662009,0,0,-6.7879090930931,0
"93",93,1.49889882116757,0,0,-6.93779897520986,0
"94",94,3.51994304166398,0,0,-7.28979327937626,0
"95",95,3.94742618886611,0.381,0,-7.30353589826287,0
"96",96,3.01486558568074,0,0,-7.60502245683094,0
"97",97,2.21722316942932,0.0508,0,-7.77594477377387,0
"98",98,2.52016904377672,0.0762,0,-7.95176167815155,0
"99",99,1.53277107922641,0,0,-8.10503878607419,0
"100",100,2.68552351931042,0,0,-8.37359113800523,0
"101",101,4.02793683868056,0,0,-8.77638482187329,0
