"","id1","id2","thetar","thetas","alpha","n","ksat","l","thrim","thsim","omega","pulse","array(serr)"
"1",1,6,0.01,0.44,0.005,1.1,0.2,0.5,0.15,0.25,0.5,12,96689.6413639098
"2",2,6,0.01,0.44,0.0075,1.1,0.2,0.5,0.15,0.25,0.5,12,13452.4192636195
"3",3,6,0.01,0.44,0.01,1.1,0.2,0.5,0.15,0.25,0.5,12,31688.8985850069
"4",4,6,0.01,0.44,0.0125,1.1,0.2,0.5,0.15,0.25,0.5,12,64983.3401699898
"5",5,6,0.01,0.44,0.015,1.1,0.2,0.5,0.15,0.25,0.5,12,101923.500076073
"6",6,6,0.01,0.44,0.0175,1.1,0.2,0.5,0.15,0.25,0.5,12,126563.645225582
"7",7,6,0.01,0.44,0.02,1.1,0.2,0.5,0.15,0.25,0.5,12,154543.689387971
"8",8,6,0.01,0.44,0.0225,1.1,0.2,0.5,0.15,0.25,0.5,12,161301.111169221
"9",9,6,0.01,0.44,0.025,1.1,0.2,0.5,0.15,0.25,0.5,12,182264.16244529
"10",10,6,0.01,0.44,0.0275,1.1,0.2,0.5,0.15,0.25,0.5,12,195403.413260708
"11",11,6,0.01,0.44,0.03,1.1,0.2,0.5,0.15,0.25,0.5,12,265233.306858803
"12",12,6,0.01,0.44,0.005,1.17,0.2,0.5,0.15,0.25,0.5,12,225395.944391569
"13",13,6,0.01,0.44,0.0075,1.17,0.2,0.5,0.15,0.25,0.5,12,22767.0759455801
"14",14,6,0.01,0.44,0.01,1.17,0.2,0.5,0.15,0.25,0.5,12,9378.64208639285
"15",15,6,0.01,0.44,0.0125,1.17,0.2,0.5,0.15,0.25,0.5,12,34594.2073484252
"16",16,6,0.01,0.44,0.015,1.17,0.2,0.5,0.15,0.25,0.5,12,68159.5229207152
"17",17,6,0.01,0.44,0.0175,1.17,0.2,0.5,0.15,0.25,0.5,12,99761.1645028824
"18",18,6,0.01,0.44,0.02,1.17,0.2,0.5,0.15,0.25,0.5,12,119539.574708039
"19",19,6,0.01,0.44,0.0225,1.17,0.2,0.5,0.15,0.25,0.5,12,136098.621947311
"20",20,6,0.01,0.44,0.025,1.17,0.2,0.5,0.15,0.25,0.5,12,153310.581880602
"21",21,6,0.01,0.44,0.0275,1.17,0.2,0.5,0.15,0.25,0.5,12,169863.181350623
"22",22,6,0.01,0.44,0.03,1.17,0.2,0.5,0.15,0.25,0.5,12,201727.313782255
"23",23,6,0.01,0.44,0.005,1.24,0.2,0.5,0.15,0.25,0.5,12,366535.823375173
"24",24,6,0.01,0.44,0.0075,1.24,0.2,0.5,0.15,0.25,0.5,12,48231.7196500941
"25",25,6,0.01,0.44,0.01,1.24,0.2,0.5,0.15,0.25,0.5,12,6279.2295497761
"26",26,6,0.01,0.44,0.0125,1.24,0.2,0.5,0.15,0.25,0.5,12,20883.7143666214
"27",27,6,0.01,0.44,0.015,1.24,0.2,0.5,0.15,0.25,0.5,12,53647.8865182356
"28",28,6,0.01,0.44,0.0175,1.24,0.2,0.5,0.15,0.25,0.5,12,71691.1873535625
"29",29,6,0.01,0.44,0.02,1.24,0.2,0.5,0.15,0.25,0.5,12,92179.7423524506
"30",30,6,0.01,0.44,0.0225,1.24,0.2,0.5,0.15,0.25,0.5,12,111811.200109008
"31",31,6,0.01,0.44,0.025,1.24,0.2,0.5,0.15,0.25,0.5,12,133013.042704833
"32",32,6,0.01,0.44,0.0275,1.24,0.2,0.5,0.15,0.25,0.5,12,157889.86645273
"33",33,6,0.01,0.44,0.03,1.24,0.2,0.5,0.15,0.25,0.5,12,175936.855239908
"34",34,6,0.01,0.44,0.005,1.31,0.2,0.5,0.15,0.25,0.5,12,492330.467408212
"35",35,6,0.01,0.44,0.0075,1.31,0.2,0.5,0.15,0.25,0.5,12,80143.6138764791
"36",36,6,0.01,0.44,0.01,1.31,0.2,0.5,0.15,0.25,0.5,12,14616.6953539991
"37",37,6,0.01,0.44,0.0125,1.31,0.2,0.5,0.15,0.25,0.5,12,17925.5932432138
"38",38,6,0.01,0.44,0.015,1.31,0.2,0.5,0.15,0.25,0.5,12,32025.7939273079
"39",39,6,0.01,0.44,0.0175,1.31,0.2,0.5,0.15,0.25,0.5,12,55747.7343664235
"40",40,6,0.01,0.44,0.02,1.31,0.2,0.5,0.15,0.25,0.5,12,85272.0781298739
"41",41,6,0.01,0.44,0.0225,1.31,0.2,0.5,0.15,0.25,0.5,12,104035.899557035
"42",42,6,0.01,0.44,0.025,1.31,0.2,0.5,0.15,0.25,0.5,12,124984.625253144
"43",43,6,0.01,0.44,0.0275,1.31,0.2,0.5,0.15,0.25,0.5,12,148101.070027709
"44",44,6,0.01,0.44,0.03,1.31,0.2,0.5,0.15,0.25,0.5,12,171563.998026709
"45",45,6,0.01,0.44,0.005,1.38,0.2,0.5,0.15,0.25,0.5,12,606668.667235463
