"","id1","id2","THETAR","THETAS","ALPHA1","ALPHA2","N1","N2","KSAT","L","W2","PULSE","array(serr)"
"1",1,5,0,0.44,0.005,0,1.1,2.5,0.55,0.5,0,15,269003.406378248
"2",2,5,0,0.44,0.0095,0,1.1,2.5,0.55,0.5,0,15,49757.1088414897
"3",3,5,0,0.44,0.014,0,1.1,2.5,0.55,0.5,0,15,22508.0399764691
"4",4,5,0,0.44,0.0185,0,1.1,2.5,0.55,0.5,0,15,24686.9818074562
"5",5,5,0,0.44,0.023,0,1.1,2.5,0.55,0.5,0,15,66774.1404021185
"6",6,5,0,0.44,0.0275,0,1.1,2.5,0.55,0.5,0,15,106594.56255396
"7",7,5,0,0.44,0.032,0,1.1,2.5,0.55,0.5,0,15,130775.335134042
"8",8,5,0,0.44,0.0365,0,1.1,2.5,0.55,0.5,0,15,162527.378624068
"9",9,5,0,0.44,0.041,0,1.1,2.5,0.55,0.5,0,15,159564.689565545
"10",10,5,0,0.44,0.0455,0,1.1,2.5,0.55,0.5,0,15,176538.17102222
"11",11,5,0,0.44,0.05,0,1.1,2.5,0.55,0.5,0,15,198585.02883141
"12",12,5,0,0.44,0.005,0,1.34,2.5,0.55,0.5,0,15,1030985.86783302
"13",13,5,0,0.44,0.0095,0,1.34,2.5,0.55,0.5,0,15,108208.731285939
"14",14,5,0,0.44,0.014,0,1.34,2.5,0.55,0.5,0,15,39251.5328245365
"15",15,5,0,0.44,0.0185,0,1.34,2.5,0.55,0.5,0,15,7943.40612903823
"16",16,5,0,0.44,0.023,0,1.34,2.5,0.55,0.5,0,15,13958.6842512075
"17",17,5,0,0.44,0.0275,0,1.34,2.5,0.55,0.5,0,15,12004.1448457249
"18",18,5,0,0.44,0.032,0,1.34,2.5,0.55,0.5,0,15,12126.3075000238
"19",19,5,0,0.44,0.0365,0,1.34,2.5,0.55,0.5,0,15,16414.9923105614
"20",20,5,0,0.44,0.041,0,1.34,2.5,0.55,0.5,0,15,126972.079003537
"21",21,5,0,0.44,0.0455,0,1.34,2.5,0.55,0.5,0,15,112907.409306043
"22",22,5,0,0.44,0.05,0,1.34,2.5,0.55,0.5,0,15,52414.2868396676
"23",23,5,0,0.44,0.005,0,1.58,2.5,0.55,0.5,0,15,1633037.05674838
"24",24,5,0,0.44,0.0095,0,1.58,2.5,0.55,0.5,0,15,168222.645859936
"25",25,5,0,0.44,0.014,0,1.58,2.5,0.55,0.5,0,15,23368.4878505589
"26",26,5,0,0.44,0.0185,0,1.58,2.5,0.55,0.5,0,15,13574.9853906629
"27",27,5,0,0.44,0.023,0,1.58,2.5,0.55,0.5,0,15,3963.41708479389
"28",28,5,0,0.44,0.0275,0,1.58,2.5,0.55,0.5,0,15,9841.98037858178
"29",29,5,0,0.44,0.032,0,1.58,2.5,0.55,0.5,0,15,14239.3045223135
"30",30,5,0,0.44,0.0365,0,1.58,2.5,0.55,0.5,0,15,56059.4938519014
"31",31,5,0,0.44,0.041,0,1.58,2.5,0.55,0.5,0,15,66049.447351604
"32",32,5,0,0.44,0.0455,0,1.58,2.5,0.55,0.5,0,15,34061.6393822564
"33",33,5,0,0.44,0.05,0,1.58,2.5,0.55,0.5,0,15,79343.9897205347
"34",34,5,0,0.44,0.005,0,1.82,2.5,0.55,0.5,0,15,1805629.89339886
"35",35,5,0,0.44,0.0095,0,1.82,2.5,0.55,0.5,0,15,187581.250486823
"36",36,5,0,0.44,0.014,0,1.82,2.5,0.55,0.5,0,15,41474.9413541749
"37",37,5,0,0.44,0.0185,0,1.82,2.5,0.55,0.5,0,15,20057.2008289222
"38",38,5,0,0.44,0.023,0,1.82,2.5,0.55,0.5,0,15,14720.3640647831
"39",39,5,0,0.44,0.0275,0,1.82,2.5,0.55,0.5,0,15,21272.7362158313
"40",40,5,0,0.44,0.032,0,1.82,2.5,0.55,0.5,0,15,6113.72358487778
"41",41,5,0,0.44,0.0365,0,1.82,2.5,0.55,0.5,0,15,40759.8068394938
"42",42,5,0,0.44,0.041,0,1.82,2.5,0.55,0.5,0,15,85436.4194400323
"43",43,5,0,0.44,0.0455,0,1.82,2.5,0.55,0.5,0,15,87239.0128888585
"44",44,5,0,0.44,0.05,0,1.82,2.5,0.55,0.5,0,15,90060.2267166322
"45",45,5,0,0.44,0.005,0,2.06,2.5,0.55,0.5,0,15,1874649.35713469
"46",46,5,0,0.44,0.0095,0,2.06,2.5,0.55,0.5,0,15,250686.205655189
"47",47,5,0,0.44,0.014,0,2.06,2.5,0.55,0.5,0,15,57567.1831075774
"48",48,5,0,0.44,0.0185,0,2.06,2.5,0.55,0.5,0,15,28209.7927515763
"49",49,5,0,0.44,0.023,0,2.06,2.5,0.55,0.5,0,15,15480.8627396254
"50",50,5,0,0.44,0.0275,0,2.06,2.5,0.55,0.5,0,15,5544.98818101379
"51",51,5,0,0.44,0.032,0,2.06,2.5,0.55,0.5,0,15,33789.6640517826
"52",52,5,0,0.44,0.0365,0,2.06,2.5,0.55,0.5,0,15,82312.9975603936
"53",53,5,0,0.44,0.041,0,2.06,2.5,0.55,0.5,0,15,47142.8800721129
"54",54,5,0,0.44,0.0455,0,2.06,2.5,0.55,0.5,0,15,84756.6669511719
"55",55,5,0,0.44,0.05,0,2.06,2.5,0.55,0.5,0,15,146077.558740276
"56",56,5,0,0.44,0.005,0,2.3,2.5,0.55,0.5,0,15,1893040.97545074
"57",57,5,0,0.44,0.0095,0,2.3,2.5,0.55,0.5,0,15,267783.979832939
"58",58,5,0,0.44,0.014,0,2.3,2.5,0.55,0.5,0,15,68133.4011041867
"59",59,5,0,0.44,0.0185,0,2.3,2.5,0.55,0.5,0,15,28231.5892194578
"60",60,5,0,0.44,0.023,0,2.3,2.5,0.55,0.5,0,15,20994.6192044394
"61",61,5,0,0.44,0.0275,0,2.3,2.5,0.55,0.5,0,15,10128.3722435589
"62",62,5,0,0.44,0.032,0,2.3,2.5,0.55,0.5,0,15,69467.5332160049
"63",63,5,0,0.44,0.0365,0,2.3,2.5,0.55,0.5,0,15,101589.910002683
"64",64,5,0,0.44,0.041,0,2.3,2.5,0.55,0.5,0,15,36811.1338121154
"65",65,5,0,0.44,0.0455,0,2.3,2.5,0.55,0.5,0,15,100249.377934644
"66",66,5,0,0.44,0.05,0,2.3,2.5,0.55,0.5,0,15,152275.045171491
"67",67,5,0,0.44,0.005,0,2.54,2.5,0.55,0.5,0,15,1886366.50137739
"68",68,5,0,0.44,0.0095,0,2.54,2.5,0.55,0.5,0,15,275197.125807404
"69",69,5,0,0.44,0.014,0,2.54,2.5,0.55,0.5,0,15,74173.7686338029
"70",70,5,0,0.44,0.0185,0,2.54,2.5,0.55,0.5,0,15,28700.1030538197
"71",71,5,0,0.44,0.023,0,2.54,2.5,0.55,0.5,0,15,18212.5307656634
"72",72,5,0,0.44,0.0275,0,2.54,2.5,0.55,0.5,0,15,7583.95551753699
"73",73,5,0,0.44,0.032,0,2.54,2.5,0.55,0.5,0,15,36614.229702146
"74",74,5,0,0.44,0.0365,0,2.54,2.5,0.55,0.5,0,15,101468.53971573
"75",75,5,0,0.44,0.041,0,2.54,2.5,0.55,0.5,0,15,114603.48494069
"76",76,5,0,0.44,0.0455,0,2.54,2.5,0.55,0.5,0,15,130380.072652826
"77",77,5,0,0.44,0.05,0,2.54,2.5,0.55,0.5,0,15,125633.055332706
"78",78,5,0,0.44,0.005,0,2.78,2.5,0.55,0.5,0,15,2750225.0272789
"79",79,5,0,0.44,0.0095,0,2.78,2.5,0.55,0.5,0,15,275750.435149992
"80",80,5,0,0.44,0.014,0,2.78,2.5,0.55,0.5,0,15,74793.8869364068
"81",81,5,0,0.44,0.0185,0,2.78,2.5,0.55,0.5,0,15,26519.7629724966
"82",82,5,0,0.44,0.023,0,2.78,2.5,0.55,0.5,0,15,7640.67813777486
"83",83,5,0,0.44,0.0275,0,2.78,2.5,0.55,0.5,0,15,10856.296476697
"84",84,5,0,0.44,0.032,0,2.78,2.5,0.55,0.5,0,15,38361.7407597692
"85",85,5,0,0.44,0.0365,0,2.78,2.5,0.55,0.5,0,15,70533.3283234041
"86",86,5,0,0.44,0.041,0,2.78,2.5,0.55,0.5,0,15,93987.284664038
