oid,qid,cid,dist
1,1,1,18.37339532
2,1,2,51.13900248
3,1,3,84.61980851
4,1,4,117.6509127
5,1,5,153.0388126
6,1,6,183.0519806
7,1,7,217.7164245
8,1,8,250.2794552
9,1,9,284.8748457
10,1,10,321.3353802
11,1,11,353.102181
12,2,1,31.96168474
13,2,2,53.56156318
14,2,3,84.06676757
15,2,4,115.6237958
16,2,5,150.1715853
17,2,6,179.1148841
18,2,7,213.0602254
19,2,8,245.2097306
20,2,9,279.3287971
21,2,10,315.3666103
22,2,11,346.8648002
23,3,1,28.15266837
24,3,2,40.60581391
25,3,3,70.60086713
26,3,4,102.2593518
27,3,5,136.9543989
28,3,6,166.1356386
29,3,7,200.288041
30,3,8,232.575067
31,3,9,266.8612987
32,3,10,303.0591268
33,3,11,334.6658973
34,4,1,44.43741548
35,4,2,56.26174078
36,4,3,82.56334999
37,4,4,112.0342796
38,4,5,145.3880312
39,4,6,173.16054
40,4,7,206.3043181
41,4,8,237.9825371
42,4,9,271.6079528
43,4,10,307.2212633
44,4,11,338.4487668
45,5,1,58.63299013
46,5,2,69.92857468
47,5,3,93.75112013
48,5,4,121.3616867
49,5,5,153.4212966
50,5,6,179.9338509
51,5,7,212.1143078
52,5,8,243.1795604
53,5,9,276.1681195
54,5,10,311.2188447
55,5,11,342.0730826
56,6,1,75.32109347
57,6,2,85.72254996
58,6,3,107.0784925
59,6,4,132.5693871
60,6,5,163.0072076
61,6,6,187.9849255
62,6,7,218.9310763
63,6,8,249.1793241
64,6,9,281.3385122
65,6,10,315.6553638
66,6,11,346.0145477
67,7,1,91.75689108
68,7,2,99.09853661
69,7,3,117.1633452
70,7,4,139.9548233
71,7,5,168.3060825
72,7,6,191.4297289
73,7,7,220.8701084
74,7,8,250.1123705
75,7,9,281.2858495
76,7,10,314.7436014
77,7,11,344.5231586
78,8,1,92.37928903
79,8,2,95.85921515
80,8,3,111.589011
81,8,4,132.9803238
82,8,5,160.4857494
83,8,6,183.0359015
84,8,7,212.1071317
85,8,8,241.15116
86,8,9,272.1712067
87,8,10,305.5261294
88,8,11,335.2522378
89,9,1,83.60257386
90,9,2,89.36676706
91,9,3,107.3846754
92,9,4,130.615385
