#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 10658315, SEN S/N: 10658315)","Temp, °C (LGR S/N: 10658315, SEN S/N: 10658315)","Batt, V (LGR S/N: 10658315, SEN S/N: 10658315)",Coupler Detached (LGR S/N: 10658315),Coupler Attached (LGR S/N: 10658315),Host Connected (LGR S/N: 10658315),Stopped (LGR S/N: 10658315),End Of File (LGR S/N: 10658315)
1,1/17/2015 10:45,5.05,4.999,3.45,,,,,
2,1/17/2015 11:00,4.714,4.48,3.45,,,,,
3,1/17/2015 11:15,4.506,4.194,3.45,,,,,
4,1/17/2015 11:30,4.428,4.037,3.45,,,,,
5,1/17/2015 11:45,4.35,3.958,3.45,,,,,
6,1/17/2015 12:00,4.324,3.932,3.45,,,,,
7,1/17/2015 12:15,4.298,3.88,3.45,,,,,
8,1/17/2015 12:30,4.298,3.88,3.45,,,,,
9,1/17/2015 12:45,4.272,3.88,3.45,,,,,
10,1/17/2015 13:00,4.272,3.854,3.47,,,,,
11,1/17/2015 13:15,4.272,3.854,3.47,,,,,
12,1/17/2015 13:30,4.272,3.854,3.47,,,,,
13,1/17/2015 13:45,4.272,3.854,3.47,,,,,
14,1/17/2015 14:00,4.272,3.854,3.47,,,,,
15,1/17/2015 14:15,4.272,3.854,3.47,,,,,
16,1/17/2015 14:30,4.298,3.88,3.47,,,,,
17,1/17/2015 14:45,4.298,3.88,3.47,,,,,
18,1/17/2015 15:00,4.324,3.88,3.47,,,,,
19,1/17/2015 15:15,4.324,3.88,3.47,,,,,
20,1/17/2015 15:30,4.35,3.88,3.47,,,,,
21,1/17/2015 15:45,4.376,3.88,3.47,,,,,
22,1/17/2015 16:00,4.402,3.88,3.47,,,,,
23,1/17/2015 16:15,4.402,3.88,3.47,,,,,
24,1/17/2015 16:30,4.428,3.88,3.47,,,,,
25,1/17/2015 16:45,4.454,3.88,3.47,,,,,
26,1/17/2015 17:00,4.844,3.985,3.47,,,,,
27,1/17/2015 17:15,4.714,3.932,3.47,,,,,
28,1/17/2015 17:30,4.662,3.932,3.47,,,,,
29,1/17/2015 17:45,4.61,3.932,3.47,,,,,
30,1/17/2015 18:00,4.688,3.932,3.47,,,,,
31,1/17/2015 18:15,4.662,3.932,3.47,,,,,
32,1/17/2015 18:30,4.688,3.932,3.47,,,,,
33,1/17/2015 18:45,4.714,3.932,3.47,,,,,
34,1/17/2015 19:00,4.74,3.932,3.47,,,,,
35,1/17/2015 19:15,4.766,3.932,3.47,,,,,
36,1/17/2015 19:30,4.792,3.932,3.47,,,,,
37,1/17/2015 19:45,4.818,3.932,3.47,,,,,
38,1/17/2015 20:00,4.844,3.958,3.47,,,,,
39,1/17/2015 20:15,4.869,3.958,3.47,,,,,
40,1/17/2015 20:30,4.895,3.958,3.47,,,,,
41,1/17/2015 20:45,4.921,3.985,3.47,,,,,
42,1/17/2015 21:00,4.947,3.985,3.47,,,,,
43,1/17/2015 21:15,4.973,3.985,3.47,,,,,
44,1/17/2015 21:30,4.973,3.985,3.47,,,,,
45,1/17/2015 21:45,4.999,3.985,3.47,,,,,
46,1/17/2015 22:00,5.024,4.011,3.47,,,,,
47,1/17/2015 22:15,5.05,4.011,3.47,,,,,
48,1/17/2015 22:30,5.076,4.011,3.47,,,,,
49,1/17/2015 22:45,5.076,4.037,3.47,,,,,
50,1/17/2015 23:00,5.102,4.037,3.47,,,,,
51,1/17/2015 23:15,5.128,4.037,3.47,,,,,
52,1/17/2015 23:30,5.154,4.037,3.47,,,,,
53,1/17/2015 23:45,5.154,4.037,3.45,,,,,
54,1/18/2015 0:00,5.179,4.063,3.45,,,,,
55,1/18/2015 0:15,5.179,4.063,3.45,,,,,
56,1/18/2015 0:30,5.205,4.063,3.45,,,,,
57,1/18/2015 0:45,5.231,4.089,3.47,,,,,
58,1/18/2015 1:00,5.231,4.089,3.47,,,,,
59,1/18/2015 1:15,5.257,4.089,3.47,,,,,
60,1/18/2015 1:30,5.257,4.089,3.45,,,,,
61,1/18/2015 1:45,5.282,4.115,3.45,,,,,
62,1/18/2015 2:00,5.282,4.115,3.45,,,,,
63,1/18/2015 2:15,5.282,4.115,3.45,,,,,
64,1/18/2015 2:30,5.308,4.141,3.45,,,,,
65,1/18/2015 2:45,5.334,4.141,3.45,,,,,
66,1/18/2015 3:00,5.334,4.141,3.45,,,,,
67,1/18/2015 3:15,5.334,4.141,3.45,,,,,
68,1/18/2015 3:30,5.36,4.168,3.45,,,,,
69,1/18/2015 3:45,5.36,4.168,3.45,,,,,
70,1/18/2015 4:00,5.385,4.194,3.45,,,,,
71,1/18/2015 4:15,5.385,4.194,3.45,,,,,
72,1/18/2015 4:30,5.411,4.194,3.45,,,,,
73,1/18/2015 4:45,5.411,4.194,3.45,,,,,
74,1/18/2015 5:00,5.437,4.22,3.45,,,,,
75,1/18/2015 5:15,5.437,4.22,3.45,,,,,
76,1/18/2015 5:30,5.437,4.22,3.45,,,,,
77,1/18/2015 5:45,5.462,4.246,3.45,,,,,
78,1/18/2015 6:00,5.462,4.246,3.45,,,,,
79,1/18/2015 6:15,5.488,4.246,3.45,,,,,
80,1/18/2015 6:30,5.488,4.272,3.45,,,,,
81,1/18/2015 6:45,5.488,4.272,3.45,,,,,
82,1/18/2015 7:00,5.488,4.272,3.45,,,,,
83,1/18/2015 7:15,5.514,4.298,3.45,,,,,
84,1/18/2015 7:30,5.514,4.298,3.45,,,,,
85,1/18/2015 7:45,5.539,4.298,3.45,,,,,
86,1/18/2015 8:00,5.539,4.324,3.45,,,,,
87,1/18/2015 8:15,5.539,4.324,3.45,,,,,
88,1/18/2015 8:30,5.539,4.324,3.45,,,,,
89,1/18/2015 8:45,5.565,4.35,3.45,,,,,
90,1/18/2015 9:00,5.565,4.35,3.45,,,,,
91,1/18/2015 9:15,5.565,4.35,3.45,,,,,
92,1/18/2015 9:30,5.591,4.376,3.45,,,,,
93,1/18/2015 9:45,5.591,4.376,3.45,,,,,
94,1/18/2015 10:00,5.591,4.376,3.45,,,,,
95,1/18/2015 10:15,5.616,4.402,3.45,,,,,
96,1/18/2015 10:30,5.616,4.402,3.45,,,,,
97,1/18/2015 10:45,5.616,4.402,3.45,,,,,
98,1/18/2015 11:00,5.616,4.402,3.47,,,,,
99,1/18/2015 11:15,5.642,4.428,3.47,,,,,
100,1/18/2015 11:30,5.642,4.428,3.47,,,,,
101,1/18/2015 11:45,5.642,4.454,3.47,,,,,
102,1/18/2015 12:00,5.642,4.454,3.47,,,,,
103,1/18/2015 12:15,5.642,4.454,3.47,,,,,
104,1/18/2015 12:30,5.668,4.454,3.47,,,,,
105,1/18/2015 12:45,5.668,4.48,3.47,,,,,
106,1/18/2015 13:00,5.693,4.48,3.47,,,,,
110,1/18/2015 13:15,5.693,4.48,3.47,,,,,
111,1/18/2015 13:30,5.693,4.506,3.47,,,,,
112,1/18/2015 13:45,5.693,4.506,3.49,,,,,
113,1/18/2015 14:00,5.719,4.506,3.47,,,,,
114,1/18/2015 14:15,5.719,4.506,3.49,,,,,
115,1/18/2015 14:30,5.745,4.532,3.49,,,,,
116,1/18/2015 14:45,5.745,4.532,3.49,,,,,
117,1/18/2015 15:00,5.745,4.558,3.47,,,,,
118,1/18/2015 15:15,5.745,4.558,3.47,,,,,
119,1/18/2015 15:30,5.77,4.558,3.47,,,,,
120,1/18/2015 15:45,5.796,4.558,3.47,,,,,
121,1/18/2015 16:00,5.796,4.558,3.47,,,,,
122,1/18/2015 16:15,5.796,4.584,3.47,,,,,
123,1/18/2015 16:30,5.821,4.584,3.47,,,,,
124,1/18/2015 16:45,5.821,4.61,3.47,,,,,
125,1/18/2015 17:00,5.847,4.61,3.45,,,,,
126,1/18/2015 17:15,5.847,4.61,3.45,,,,,
127,1/18/2015 17:30,5.872,4.61,3.45,,,,,
128,1/18/2015 17:45,5.872,4.61,3.43,,,,,
129,1/18/2015 18:00,5.898,4.61,3.43,,,,,
130,1/18/2015 18:15,5.898,4.636,3.43,,,,,
131,1/18/2015 18:30,5.898,4.636,3.43,,,,,
132,1/18/2015 18:45,5.924,4.662,3.41,,,,,
133,1/18/2015 19:00,5.924,4.662,3.41,,,,,
134,1/18/2015 19:15,5.949,4.662,3.41,,,,,
135,1/18/2015 19:30,5.949,4.662,3.41,,,,,
136,1/18/2015 19:45,5.949,4.688,3.41,,,,,
137,1/18/2015 20:00,5.949,4.688,3.41,,,,,
138,1/18/2015 20:15,5.949,4.688,3.4,,,,,
139,1/18/2015 20:30,5.949,4.688,3.4,,,,,
140,1/18/2015 20:45,5.949,4.714,3.4,,,,,
141,1/18/2015 21:00,5.949,4.714,3.4,,,,,
142,1/18/2015 21:15,5.949,4.714,3.4,,,,,
143,1/18/2015 21:30,5.949,4.714,3.4,,,,,
144,1/18/2015 21:45,5.924,4.74,3.4,,,,,
145,1/18/2015 22:00,5.924,4.74,3.4,,,,,
146,1/18/2015 22:15,5.924,4.74,3.4,,,,,
147,1/18/2015 22:30,5.898,4.766,3.4,,,,,
148,1/18/2015 22:45,5.898,4.766,3.4,,,,,
149,1/18/2015 23:00,5.872,4.766,3.38,,,,,
150,1/18/2015 23:15,5.872,4.792,3.38,,,,,
151,1/18/2015 23:30,5.847,4.792,3.38,,,,,
152,1/18/2015 23:45,5.847,4.792,3.38,,,,,
153,1/19/2015 0:00,5.821,4.792,3.38,,,,,
