ID,bulkd,vwc,gwc,porosity,sat_eff,sand_av,silt_av,clay_av,sand_sd,clay_sd,silt_sd,vgm_tr,vgm_ts,vgm_alpha,vgm_n,vgm_ksat
9D,1.069990306,0.075590221,0.070645706,0.596230073,0.12678029,90.6,4.2,5.2,1.20E+00,3.70E-01,8.80E-01,5.10E-02,5.20E-01,4.70E-02,1.90E+00,4.80E+02
9S,1.292874239,0.250908605,0.194070388,0.512122929,0.489938238,29,45.4,25.6,5.60E-01,1.30E-01,5.70E-01,7.60E-02,4.50E-01,7.60E-03,1.60E+00,1.90E+01
10D,1.35565165,0.165440726,0.122037786,0.48843334,0.338717103,77.7,12.2,10.1,8.30E-01,1.10E-01,7.40E-01,5.00E-02,4.30E-01,3.30E-02,1.60E+00,1.30E+02
10S,1.353158781,0.292161567,0.215910779,0.489374045,0.597010752,44.9,33.3,21.8,2.30E-01,6.10E-01,8.30E-01,6.60E-02,4.20E-01,1.20E-02,1.50E+00,1.80E+01
11D,1.160792389,0.136035593,0.11719201,0.561965136,0.242071233,81.3,9.1,9.6,8.00E-01,1.50E-01,6.80E-01,5.30E-02,4.90E-01,3.70E-02,1.60E+00,2.40E+02
11S,1.448142451,0.206305014,0.142461823,0.453531151,0.454886094,56.5,25,18.5,2.30E+00,2.50E-01,2.50E+00,5.80E-02,4.10E-01,1.90E-02,1.40E+00,2.50E+01
12D,1.359524978,0.167116041,0.122922376,0.486971706,0.343174026,81.1,9.7,9.3,2.70E-01,1.60E-01,2.90E-01,5.10E-02,4.30E-01,3.40E-02,1.70E+00,1.60E+02
12S,1.185962325,0.210701041,0.177662508,0.552467047,0.381382097,42.6,35.6,21.7,1.90E+00,2.40E-01,1.70E+00,7.00E-02,4.60E-01,9.50E-03,1.50E+00,3.50E+01
13D,1.245000432,0.136799537,0.109879108,0.530188516,0.258020559,81.1,9.6,9.3,4.60E-01,1.90E-01,6.50E-01,5.20E-02,4.70E-01,3.60E-02,1.60E+00,2.10E+02
13S,1.272730249,0.185490898,0.145742508,0.519724434,0.3569024,47,34.2,18.8,1.10E+00,9.40E-01,1.10E+00,6.20E-02,4.30E-01,1.10E-02,1.50E+00,3.10E+01
