tensio,event,pool,fraction
1,12,Recharge,0.984275868
1,13,Recharge,0.841022665
1,14,Recharge,0.968895633
1,15,Recharge,0.967714901
1,16,Recharge,0.925655834
1,17,Recharge,0.990827557
1,12,Storage,0.007351118
1,13,Storage,0.15009194
1,14,Storage,0.021621908
1,15,Storage,0.021621997
1,16,Storage,0.061501523
1,17,Storage,0
1,12,ET,0.008373013
1,13,ET,0.008885395
1,14,ET,0.009482459
1,15,ET,0.010663103
1,16,ET,0.012842643
1,17,ET,0.009172443
2,12,Recharge,1.003513034
2,13,Recharge,0.820018519
2,14,Recharge,0.948499952
2,15,Recharge,0.934262855
2,16,Recharge,0.911519055
2,17,Recharge,0.990827557
2,12,Storage,-0.011886048
2,13,Storage,0.171096086
2,14,Storage,0.042017589
2,15,Storage,0.055074042
2,16,Storage,0.075638302
2,17,Storage,0
2,12,ET,0.008373013
2,13,ET,0.008885395
2,14,ET,0.009482459
2,15,ET,0.010663103
2,16,ET,0.012842643
2,17,ET,0.009172443
3,12,Recharge,0.993389214
3,13,Recharge,0.969667024
3,14,Recharge,0.980801327
3,15,Recharge,0.981127904
3,16,Recharge,0.970973971
3,17,Recharge,0.990827557
3,12,Storage,-0.001762227
3,13,Storage,0.02144758
3,14,Storage,0.009716214
3,15,Storage,0.008208993
3,16,Storage,0.016183386
3,17,Storage,0
3,12,ET,0.008373013
3,13,ET,0.008885395
3,14,ET,0.009482459
3,15,ET,0.010663103
3,16,ET,0.012842643
3,17,ET,0.009172443
4,12,Recharge,0.995490397
4,13,Recharge,0.970140953
4,14,Recharge,0.985145455
4,15,Recharge,0.986754903
4,16,Recharge,0.971658437
4,17,Recharge,0.990827557
4,12,Storage,-0.003863411
4,13,Storage,0.020973652
4,14,Storage,0.005372086
4,15,Storage,0.002581994
4,16,Storage,0.01549892
4,17,Storage,0
4,12,ET,0.008373013
4,13,ET,0.008885395
4,14,ET,0.009482459
4,15,ET,0.010663103
4,16,ET,0.012842643
4,17,ET,0.009172443
5,5,Recharge,0.948462397
5,6,Recharge,0.959929271
5,7,Recharge,0.944912873
5,8,Recharge,0.96530701
5,9,Recharge,0.95385106
5,10,Recharge,0.993753832
5,5,Storage,0.048553108
5,6,Storage,0.033728659
5,7,Storage,0.043853492
5,8,Storage,0.029830548
5,9,Storage,0.037145245
5,10,Storage,0
5,5,ET,0.002984495
5,6,ET,0.006342069
5,7,ET,0.011233636
